model_name,dataset_name,suite_name,traj_name,latency_ms,dist_pred_mean,diversity,path_length_mean,endpoint_norm_mean,forward_progress_mean,lateral_abs_mean,smoothness_mean
efficientnet_b0,go_stanford,short,no5vcF_117_0,41.404139250062144,8.243802070617676,0.1301059126853943,9.50281810760498,10.745306015014648,10.512405395507812,2.179414987564087,0.08767758309841156
efficientnet_b0,go_stanford,short,no6vc_22_1,29.325468999900295,11.864296913146973,0.32058894634246826,1.3227401971817017,1.135648488998413,0.8272336721420288,0.486874520778656,0.08881156891584396
efficientnet_b0,go_stanford,short,no3vcF_25_0,29.22173475008094,7.585910797119141,0.19976192712783813,8.336458206176758,9.435310363769531,9.383750915527344,0.8898106813430786,0.04003031551837921
efficientnet_b0,go_stanford,short,sim12h_1_2,29.116530749888625,8.960731506347656,0.32827386260032654,6.06605339050293,5.862337112426758,4.067214488983154,4.15980339050293,0.2420097291469574
efficientnet_b0,go_stanford,medium,no5vcF_117_0,28.645316749930316,15.618245124816895,0.11973478645086288,9.462560653686523,10.744873046875,10.639640808105469,1.4573922157287598,0.070858895778656
efficientnet_b0,go_stanford,medium,no6vc_22_1,28.64864949992807,11.139727592468262,0.3182136118412018,3.596083641052246,3.650251865386963,2.2723894119262695,2.7758536338806152,0.1450411081314087
efficientnet_b0,go_stanford,medium,no3vcF_25_0,29.14473974988141,14.591696739196777,0.38739508390426636,8.117948532104492,9.014878273010254,8.149654388427734,3.751399517059326,0.07017549127340317
efficientnet_b0,go_stanford,medium,sim12h_1_2,28.82812524990186,10.03618335723877,0.2171190083026886,6.882423400878906,7.390822410583496,7.029013633728027,2.215862274169922,0.19419565796852112
efficientnet_b0,go_stanford,long,no5vcF_117_0,28.14913549980247,16.494443893432617,0.14557182788848877,9.110942840576172,10.355903625488281,10.304924011230469,0.9674999713897705,0.04218848794698715
efficientnet_b0,go_stanford,long,no3vcF_25_0,28.274539249991903,17.861083984375,0.35892146825790405,7.837316513061523,8.345121383666992,6.0215935707092285,5.7139363288879395,0.16750648617744446
efficientnet_b0,go_stanford,long,sim12h_1_2,29.07184275011332,7.33538293838501,0.27175068855285645,6.110019683837891,6.150343894958496,4.571557998657227,4.064993381500244,0.230116605758667
efficientnet_b0,go_stanford,long,sim12h_1_9,29.935750749928047,13.7147855758667,0.40360701084136963,9.189910888671875,10.225991249084473,8.653539657592773,5.3408379554748535,0.11821910738945007
dinov2_small,go_stanford,short,no5vcF_117_0,29.121391249987028,10.282712936401367,0.4975242018699646,8.726325988769531,9.919851303100586,9.726062774658203,1.6293331384658813,0.08684791624546051
dinov2_small,go_stanford,short,no6vc_22_1,28.86111925010937,5.823208808898926,0.5745987892150879,7.113650798797607,8.011390686035156,7.85555362701416,0.958107590675354,0.07129248976707458
dinov2_small,go_stanford,short,no3vcF_25_0,28.903265750159335,8.56661605834961,0.44910159707069397,8.40875244140625,9.59831428527832,9.466776847839355,1.3113746643066406,0.09037803113460541
dinov2_small,go_stanford,short,sim12h_1_2,28.67506475013215,7.351917743682861,0.6484461426734924,7.543020248413086,8.533506393432617,8.21390151977539,1.8971420526504517,0.13894489407539368
dinov2_small,go_stanford,medium,no5vcF_117_0,28.85670625005332,8.670836448669434,0.5125702619552612,8.822083473205566,9.983315467834473,9.7333402633667,1.838096022605896,0.09516854584217072
dinov2_small,go_stanford,medium,no6vc_22_1,29.262166499847808,6.895551681518555,0.5586057901382446,3.3230204582214355,3.7100157737731934,3.359161138534546,1.2607457637786865,0.1519625335931778
dinov2_small,go_stanford,medium,no3vcF_25_0,28.834280750061225,10.68346881866455,0.8112719655036926,8.043196678161621,8.961015701293945,8.401202201843262,2.6703379154205322,0.14882546663284302
dinov2_small,go_stanford,medium,sim12h_1_2,28.803396249941216,8.329845428466797,0.46019214391708374,7.4790496826171875,8.524658203125,8.373988151550293,1.158599853515625,0.1473778784275055
dinov2_small,go_stanford,long,no5vcF_117_0,28.966472999968573,7.768599510192871,0.6214083433151245,8.729422569274902,9.806867599487305,9.472850799560547,2.146794080734253,0.11922654509544373
dinov2_small,go_stanford,long,no3vcF_25_0,28.524348499900043,10.662978172302246,0.7098743319511414,8.812962532043457,9.936665534973145,9.326166152954102,2.950669288635254,0.10293370485305786
dinov2_small,go_stanford,long,sim12h_1_2,28.455528249992312,7.164000511169434,0.48596838116645813,7.958178997039795,8.998619079589844,8.791739463806152,1.5685970783233643,0.11855249851942062
dinov2_small,go_stanford,long,sim12h_1_9,29.982344749896583,8.766956329345703,0.6057663559913635,8.694379806518555,9.793259620666504,9.458622932434082,2.214850902557373,0.11158023774623871
