dataset_name,suite_name,traj_name,config_name,scheduler_kind,num_steps,cfg_weight,tts_budget,tts_topk,tts_verifier,latency_ms,latency_std_ms,mse_vs_baseline,verifier_score_mean,diversity,path_length_mean,endpoint_norm_mean,forward_progress_mean,lateral_abs_mean,smoothness_mean
go_stanford,short,no9vc_56_0,ddpm10_cfg0.0_tts0,ddpm,10,0.0,0,0,heuristic,56.860205666680486,37.061318037877804,0.0,8.83194637298584,0.6455733776092529,8.082541465759277,9.183297157287598,8.974026679992676,1.5088645219802856,0.0793609693646431
go_stanford,short,no9vc_56_0,ddim10_cfg0.0_tts0,ddim,10,0.0,0,0,heuristic,31.53219233335373,0.2717193651901998,0.21074849367141724,8.351476669311523,0.7431252002716064,8.071552276611328,9.118941307067871,8.708788871765137,2.112879514694214,0.08985158801078796
go_stanford,short,no9vc_56_0,ddim10_cfg0.0_tts8,ddim,10,0.0,8,4,heuristic,33.19159199998012,1.7416297721086689,0.05946854501962662,9.600040435791016,0.47573134303092957,8.522953987121582,9.681822776794434,9.590012550354004,1.0775524377822876,0.06898850202560425
go_stanford,short,no9vc_56_0,ddim10_cfg0.0_tts16,ddim,10,0.0,16,4,heuristic,65.57785100001941,1.8645475099164064,0.2607026696205139,10.260225296020508,0.24467521905899048,8.96353816986084,10.221787452697754,10.165454864501953,0.8511956334114075,0.043081432580947876
go_stanford,short,no9vc_56_0,ddim10_cfg0.0_tts32,ddim,10,0.0,32,4,heuristic,124.46031166666671,0.5208519042544112,0.24838481843471527,10.30978775024414,0.2534775137901306,8.960294723510742,10.22646713256836,10.184597969055176,0.7651659846305847,0.0430886410176754
go_stanford,short,no9vc_56_0,ddim10_cfg0.5_tts0,ddim,10,0.5,0,0,heuristic,59.48912700000619,1.0011962905952076,0.13988150656223297,8.84411907196045,0.7472773790359497,8.433462142944336,9.54410171508789,9.186789512634277,2.0758843421936035,0.08291973918676376
go_stanford,short,no9vc_56_0,ddim10_cfg0.5_tts8,ddim,10,0.5,8,4,heuristic,60.483403666618564,1.4089355656123628,0.17656487226486206,10.07526969909668,0.2892574965953827,8.755850791931152,10.007338523864746,9.9619779586792,0.8003637790679932,0.04430918022990227
go_stanford,short,no9vc_56_0,ddim10_cfg0.5_tts16,ddim,10,0.5,16,4,heuristic,118.57941866666503,0.6285958147878493,0.26050177216529846,10.437973022460938,0.19835864007472992,8.963349342346191,10.228219985961914,10.208627700805664,0.46744656562805176,0.04292227327823639
go_stanford,short,no9vc_56_0,ddim10_cfg0.5_tts32,ddim,10,0.5,32,4,heuristic,237.61043266669427,1.550617983263508,0.31554973125457764,10.622639656066895,0.15593530237674713,9.064756393432617,10.345967292785645,10.336875915527344,0.3085162937641144,0.03815580531954765
go_stanford,short,no9vc_56_0,ddim10_cfg1.0_tts0,ddim,10,1.0,0,0,heuristic,61.42037066668612,3.102358623985027,0.21022212505340576,8.911613464355469,0.5961288213729858,8.299275398254395,9.408988952636719,9.13655948638916,1.7453455924987793,0.07338883727788925
