config_name,scheduler_kind,num_steps,cfg_weight,tts_budget,tts_topk,tts_verifier,num_cases,latency_ms_mean,latency_ms_std,latency_ms_ci95,latency_std_ms_mean,latency_std_ms_std,latency_std_ms_ci95,mse_vs_baseline_mean,mse_vs_baseline_std,mse_vs_baseline_ci95,diversity_mean,diversity_std,diversity_ci95,path_length_mean_mean,path_length_mean_std,path_length_mean_ci95,endpoint_norm_mean_mean,endpoint_norm_mean_std,endpoint_norm_mean_ci95,forward_progress_mean_mean,forward_progress_mean_std,forward_progress_mean_ci95,lateral_abs_mean_mean,lateral_abs_mean_std,lateral_abs_mean_ci95,smoothness_mean_mean,smoothness_mean_std,smoothness_mean_ci95,verifier_score_mean_mean,verifier_score_mean_std,verifier_score_mean_ci95,rank_score,rank
ddim2_cfg2.0_tts8,ddim,2,2.0,8,4,heuristic,12,12.545439194446494,0.7089098768346206,0.40110352205721955,0.4486474335726234,0.3809491168813685,0.21554225367542817,0.3782514960815509,0.203176239454971,0.1149577794114181,0.28107203791538876,0.06063797242156194,0.03430916270668786,9.014202753702799,0.23918023345101105,0.1353289567244232,10.274274110794067,0.2877476366941549,0.162808551993968,10.17327332496643,0.3567744366881599,0.2018641407206485,1.1267613222201665,0.5184835448285395,0.29335968189360573,0.05528978599856297,0.009352403351260254,0.005291620340571665,10.169558763504028,0.51194909707085,0.2896624700251363,9.143341434567263,1
ddim2_cfg0.0_tts16,ddim,2,0.0,16,4,heuristic,12,13.860007472212983,0.7696572522453885,0.43547458533227035,0.5814835338717304,0.44910631843340076,0.25410582076544,0.2229723601291577,0.1358890663277455,0.07688647724376575,0.33181652054190636,0.16203301763472888,0.09167881022203775,8.82983684539795,0.15112680920778157,0.08550804189832427,10.084808667500814,0.1921396817062997,0.10871325901603833,10.050369421641031,0.1885763834473445,0.10669713323120783,0.6406354829668999,0.13868021043931236,0.07846571569184273,0.06272532076885302,0.026752102973964197,0.01513642717633868,10.216442823410034,0.19644047374910695,0.11114666119080882,9.123737830876639,2
ddim2_cfg0.0_tts8,ddim,2,0.0,8,4,heuristic,12,6.891857444464399,0.23875399380311207,0.13508778894047851,0.22423231412390052,0.15938980332524058,0.09018327093879097,0.14684732739503184,0.09896691362162723,0.055995802735906666,0.3723134795824687,0.08199281260535198,0.04639180098072822,8.575127840042114,0.20220496025687104,0.11440822647106644,9.765065828959147,0.22036908442397918,0.12468554720899062,9.697069883346558,0.22880493652792333,0.12945857986238554,0.9088408996661504,0.2579423651059704,0.14594463205075395,0.06923794311781724,0.012429257023106405,0.007032514190355179,9.76725967725118,0.27743302871480285,0.15697251313437294,9.023997004772513,3
ddim2_cfg1.0_tts8,ddim,2,1.0,8,4,heuristic,12,12.524003611095695,0.6600263831115195,0.373445081762457,0.5126542153474453,0.2577726464330575,0.145848604671691,0.20964718547960123,0.10855188970661313,0.06141901348829255,0.32825933148463565,0.0921781681090562,0.05215470836774677,8.779120127360025,0.20070869911161196,0.11356163703157299,10.008447806040445,0.21649209067428507,0.12249193149165889,9.941309293111166,0.2340112519461842,0.13240433011844016,0.8647344186902046,0.290750039176523,0.16450732111775057,0.06280512704203527,0.009295623288736753,0.005259493995876769,10.028319915135702,0.29389650886808033,0.16628760393869987,9.003031296958504,4
ddim2_cfg2.0_tts16,ddim,2,2.0,16,4,heuristic,12,24.600295055554017,1.0850386441281161,0.6139184062031441,0.7238566235421554,0.20693144642002403,0.11708248776851152,0.466049204270045,0.23654374265642064,0.1338372216278499,0.24327941797673702,0.16155769015669452,0.09140986838358929,9.241967042287191,0.18163217717423982,0.10276807865734426,10.543570518493652,0.2200670457371482,0.12451465273418603,10.494733810424805,0.242539669041135,0.1372297363458608,0.7698560381929079,0.4326714139171929,0.24480689814983236,0.052107226103544235,0.021282420457455674,0.012041662956516454,10.616763671239218,0.3443370415995059,0.1948270219862454,8.987453360364054,5
ddim2_cfg0.5_tts8,ddim,2,0.5,8,4,heuristic,12,12.654381472221607,0.7353832139641652,0.4160822226089481,0.6689268562364874,0.3056726850241229,0.17295060284294123,0.16653058429559073,0.08246381126097992,0.046658293557330664,0.35590685531497,0.06682675323761848,0.037810795091391576,8.722671270370483,0.24163564525837755,0.13671823673901853,9.939546982447306,0.2762334632379758,0.15629379507243538,9.868053833643595,0.2960109359767252,0.16748395369785066,0.9198616494735082,0.1802178885043228,0.10196786951194159,0.06675834363947312,0.011994198104470626,0.006786356434243219,9.934985240300497,0.3403725724765332,0.19258391241721,8.903369431170866,6
ddim3_cfg0.0_tts8,ddim,3,0.0,8,4,heuristic,12,9.976931416651448,0.49467085308469216,0.2798863831849347,0.32198392349569455,0.2837173063613231,0.16052817793743612,0.13197336190690598,0.0996666489756151,0.05639171528299333,0.38740308086077374,0.0687452259136185,0.03889627319299469,8.62565795580546,0.20260793773499639,0.11463623244342999,9.82427946726481,0.24151464588893484,0.1366497749008694,9.74333381652832,0.25684408932243813,0.14532322402787246,0.9776127984126409,0.15451934675346543,0.08742755071425604,0.059797350938121475,0.009500948175847346,0.005375667487144506,9.790885130564371,0.2962356000579578,0.167611069368272,8.893353163610605,7
ddim3_cfg2.0_tts8,ddim,3,2.0,8,4,heuristic,12,18.491648666661654,1.4081345022824248,0.7967270972689986,0.9744528208372826,0.8944403736035638,0.5060772826646053,0.33483761673172313,0.15914343341635212,0.09004387404023835,0.280723695953687,0.06945138215970785,0.03929581870178893,8.989939371744791,0.3002616515936119,0.1698890224673956,10.247143268585205,0.3573282024704424,0.20217746320764793,10.15777579943339,0.39789604678383156,0.22513088192573041,1.065077193081379,0.49887205780175176,0.28226343852576347,0.054864535108208656,0.015077354464001897,0.008530816365289724,10.175729751586914,0.5098554044262158,0.288477851893396,8.852186668255595,8
ddim3_cfg0.0_tts16,ddim,3,0.0,16,4,heuristic,12,19.738290027779232,1.0967370035000634,0.6205373761169656,0.8919300158462825,0.9154699333099245,0.5179758761828638,0.21030202321708202,0.12128189006729048,0.06862168924061322,0.2594168856739998,0.05616380917433627,0.03177766653860747,8.858562548955282,0.14231580258326157,0.08052274559275603,10.107869784037272,0.17217741104181888,0.09741854112109964,10.065870443979898,0.18569355831078893,0.1050660213599632,0.700665257871151,0.18784865128982006,0.10628538000130404,0.047567397045592465,0.010620836424408295,0.00600930391327809,10.212881088256836,0.22214128668525904,0.12568826503254685,8.826587992779196,9
ddim2_cfg0.0_tts32,ddim,2,0.0,32,4,heuristic,12,26.49575833334299,0.9875165653734213,0.5587400957506083,0.8706560212628319,0.6580166384054652,0.372307961648355,0.32451461503903073,0.1528747371108879,0.08649702521079912,0.2138588378826777,0.07234981682294864,0.04093576249417852,9.090799490610758,0.11209523746021374,0.06342385121207884,10.365866502126059,0.11420614335697345,0.06461820865805246,10.34410015741984,0.10841256069534143,0.06134018067897218,0.5331663762529691,0.16883425106312305,0.0955269702937285,0.05269094152996937,0.013929333836799677,0.007881262547502287,10.548727989196777,0.10555471170227351,0.059723200391230136,8.824800367834655,10
