dataset_name,suite_name,config_name,num_cases,latency_ms_mean,latency_ms_std,latency_ms_ci95,latency_std_ms_mean,latency_std_ms_std,latency_std_ms_ci95,mse_vs_baseline_mean,mse_vs_baseline_std,mse_vs_baseline_ci95,diversity_mean,diversity_std,diversity_ci95,path_length_mean_mean,path_length_mean_std,path_length_mean_ci95,endpoint_norm_mean_mean,endpoint_norm_mean_std,endpoint_norm_mean_ci95,forward_progress_mean_mean,forward_progress_mean_std,forward_progress_mean_ci95,lateral_abs_mean_mean,lateral_abs_mean_std,lateral_abs_mean_ci95,smoothness_mean_mean,smoothness_mean_std,smoothness_mean_ci95,verifier_score_mean_mean,verifier_score_mean_std,verifier_score_mean_ci95
go_stanford,long,ddim10_cfg0.0_tts0,4,31.796523749998563,1.432154424246586,1.4035113357616542,1.123601064002866,1.4472300912968865,1.4182854894709487,0.14245477598160505,0.12111121074040028,0.11868898652559227,0.7966312617063522,0.12751805347064468,0.12496769240123179,8.012810587882996,0.2586069216778186,0.2534347832442623,9.034357786178589,0.36741504872108127,0.36006674774665964,8.655038237571716,0.5240748153089917,0.5135933190028118,1.7574788331985474,0.17727549134086637,0.17372998151404903,0.07866387441754341,0.009667944228016078,0.009474585343455756,8.42229974269867,0.582917032500094,0.571258691850092
go_stanford,long,ddim10_cfg0.0_tts16,4,62.23936808332079,2.8924545860594684,2.834605494338279,0.8548021872711916,0.5004891308881529,0.49047934827038986,0.2618632586672902,0.17892797198803786,0.1753494125482771,0.25986530631780624,0.05107198637328833,0.05005054664582256,8.799460887908936,0.2170449481012157,0.21270404913919136,10.042009115219116,0.26379528210551717,0.25851937646340684,9.99665641784668,0.2857863647816549,0.28007063748602185,0.7987546622753143,0.22963251423963665,0.2250398639548439,0.046324596740305424,0.010995094484382345,0.0107751925946947,10.109580278396606,0.3528146394142836,0.3457583466259979
go_stanford,long,ddim10_cfg0.0_tts32,4,125.31033091665714,7.210494587916592,7.0662846961582595,2.0174219163461604,1.4019332722233115,1.3738946067788453,0.31637953966856003,0.2013197884979528,0.19729339272799373,0.21202852576971054,0.02206937487417136,0.021627987376687932,8.92582368850708,0.2496284640113866,0.24463589473115888,10.182714700698853,0.285440388700249,0.279731580926244,10.159986972808838,0.28495742033671906,0.27925827192998465,0.5378850996494293,0.10302840593349011,0.1009678378148203,0.04195251269266009,0.01050619032175684,0.010296066515321703,10.364728689193726,0.2781081525476049,0.2725459894966528
go_stanford,long,ddim10_cfg0.0_tts8,4,32.0206362500149,1.3214834432515694,1.295053774386538,1.6316946813529847,1.5814903275611225,1.5498605210099001,0.14117591083049774,0.09061825306529386,0.08880588800398799,0.4202050194144249,0.10474591217363574,0.10265099393016303,8.459632158279419,0.08077465988298978,0.07915916668532998,9.626904010772705,0.09098674154668616,0.08916700671575244,9.51096248626709,0.12523885478643637,0.12273407769070764,1.2279195040464401,0.3465603394819666,0.33962913269232725,0.062117958441376686,0.01646722169657458,0.01613787726264309,9.470237255096436,0.23004429341320176,0.22544340754493772
go_stanford,long,ddim10_cfg0.5_tts0,4,60.41018116668321,2.240714044389741,2.195899763501946,2.1445134023820374,1.3896413311547715,1.3618485045316762,0.16094643995165825,0.107763940899115,0.10560866208113269,0.6154021620750427,0.048074717467286816,0.047113223117941076,8.262951016426086,0.32896254408306175,0.3223832932014005,9.372067213058472,0.383364857718082,0.37569756056372033,9.112345218658447,0.4484959771716715,0.43952605762823804,1.6777364611625671,0.34984587428766556,0.34284895680191224,0.06960093695670366,0.01084123581179704,0.0106244110955611,8.911870241165161,0.5451695300212733,0.5342661394208479
go_stanford,long,ddim10_cfg0.5_tts16,4,122.627318833338,5.400224252010648,5.292219766970435,1.7117816714421386,1.0282860671338194,1.007720345791143,0.23487187922000885,0.1326645277443323,0.13001123718944566,0.22174091637134552,0.04708276547159183,0.046141110162159986,8.811832427978516,0.28523277998934404,0.27952812438955715,10.053101062774658,0.34091350490551287,0.3340952348074026,10.015872716903687,0.36410987466733813,0.3568276771739914,0.6741582900285721,0.2379006947199112,0.23314268082551298,0.04618977755308151,0.00871735390694183,0.008543006828802992,10.17230772972107,0.44618776514119934,0.4372640098383753
go_stanford,long,ddim10_cfg0.5_tts32,4,240.31421241669668,7.971644875854114,7.812211978337031,4.940808478149002,3.367874107286344,3.300516625140617,0.31847385317087173,0.16786810197889954,0.16451073993932155,0.18943724408745766,0.03507644707733173,0.034374918135785096,8.983258247375488,0.17586545154290043,0.17234814251204242,10.246865034103394,0.20925603729474593,0.205070916548851,10.227674961090088,0.21397126756141818,0.20969184221018983,0.4987199306488037,0.11449520203793397,0.11220529799717528,0.03881275234743953,0.005896593077135184,0.0057786612155924805,10.44651985168457,0.24301409640492344,0.23815381447682496
go_stanford,long,ddim10_cfg0.5_tts8,4,59.785532500020125,2.063184685653151,2.0219209919400876,0.7447681994666047,0.5193893517797742,0.5090015647441787,0.1370785585604608,0.09740930434343142,0.0954611182565628,0.39778827130794525,0.09294483472356797,0.09108593802909662,8.39082384109497,0.5029737665405577,0.49291429120974656,9.552737474441528,0.5557176682320514,0.5446033148674103,9.463061809539795,0.5652630571380353,0.5539577959952745,1.0569937080144882,0.2783336657733741,0.2727669924579066,0.0580728342756629,0.011251489019879202,0.011026459239481617,9.48293662071228,0.5874161212403473,0.5756677988155403
go_stanford,long,ddim10_cfg1.0_tts0,4,59.00713683334403,3.2264591038732644,3.161929921795799,1.3031360554892388,0.3967215392235538,0.3887871084390827,0.21228079870343208,0.21628654464028296,0.2119608137474773,0.5578499287366867,0.08123155937971735,0.079606928192123,8.261961817741394,0.32006699276036527,0.31366565290515797,9.397373914718628,0.37601506983467575,0.36849476843798223,9.160908460617065,0.4416887808478342,0.4328550052308775,1.5452989041805267,0.2739459043840383,0.26846698629635757,0.06634679716080427,0.012393527741142928,0.01214565718632007,9.008350372314453,0.5361162522844494,0.5253939272387603
go_stanford,long,ddim10_cfg1.0_tts16,4,118.01874666662115,6.840940119554769,6.704121317163674,2.3981006957600877,1.629704934051312,1.5971108353702856,0.2792886272072792,0.15439959484328677,0.15131160294642104,0.27645495906472206,0.07862376703164783,0.07705129169101488,8.85735297203064,0.2417769022919198,0.23694136424608142,10.101146697998047,0.30172959383659487,0.295695001959863,10.050737857818604,0.31297590264286573,0.30671638459000844,0.7608907073736191,0.25729502447779024,0.2521491239882344,0.04802315775305033,0.012769237063299556,0.012513852322033564,10.17636489868164,0.37926143246548616,0.37167620381617644
go_stanford,long,ddim10_cfg1.0_tts32,4,234.2422345000159,9.245886345714682,9.060968618800388,6.101230251588018,6.273559990876724,6.14808879105919,0.45916032046079636,0.21239078362208455,0.20814296794964285,0.22387992590665817,0.05791659557833891,0.056758263666772134,9.096117734909058,0.1707502773982778,0.16733527185031224,10.377145051956177,0.20155552216282074,0.19752441171956434,10.329390048980713,0.23016317710371292,0.22555991356163865,0.8072250783443451,0.2918826405597603,0.2860449877485651,0.041218653321266174,0.007684615665369959,0.00753092335206256,10.439964294433594,0.32820946702342607,0.32164527768295753
go_stanford,long,ddim10_cfg1.0_tts8,4,58.981220249989974,2.5974539319354615,2.545504853296752,0.8977013929334171,0.8559843931688057,0.8388647053054296,0.1772671788930893,0.04512616800492908,0.044223644644830494,0.39964959025382996,0.07041429834980249,0.06900601238280644,8.612918615341187,0.342434673567258,0.33558598009591284,9.828441858291626,0.38898790553640744,0.38120814742567927,9.727602243423462,0.4050537448097266,0.39695266991353206,1.0659150630235672,0.3719426813850797,0.3645038277573781,0.04687874857336283,0.010272396200346616,0.010066948276339683,9.746957063674927,0.4602072569135973,0.45100311177532537
go_stanford,long,ddim10_cfg2.0_tts0,4,58.62434199999218,0.9760983222563419,0.956576355811215,2.190420365173024,2.9631507070629928,2.903887692921733,0.5568155348300934,0.44657594747697554,0.437644428527436,0.438846692442894,0.03220109706707776,0.0315570751257362,8.54835057258606,0.473377675917605,0.4639101223992529,9.690787076950073,0.5598753489423934,0.5486778419635455,9.36482048034668,0.6755806525116492,0.6620690394614163,2.076880782842636,0.6605389017855101,0.6473281237497999,0.07148617599159479,0.017061587192294614,0.016720355448448722,9.02404499053955,0.8754524204452157,0.8579433720363113
go_stanford,long,ddim10_cfg2.0_tts16,4,115.0581473333432,1.9860686400082417,1.9463472672080768,1.083628739405822,0.9285198395785668,0.9099494427869954,0.4127175956964493,0.16110645755302808,0.1578843284019675,0.25462646409869194,0.06896209294511023,0.06758285108620803,8.980978727340698,0.27083104944729586,0.26541442845834995,10.242774724960327,0.3134436715417203,0.3071747981108859,10.161246061325073,0.36673174758907884,0.35939711263729723,1.0569337606430054,0.3970227021623383,0.38908224811909153,0.045423910953104496,0.007288199876434838,0.007142435878906141,10.183688879013062,0.5048428073495811,0.49474595120258946
go_stanford,long,ddim10_cfg2.0_tts32,4,231.952619916683,4.394842999377562,4.306946139390011,5.70048245907052,3.787347747311786,3.71160079236555,0.45374928414821625,0.16673877018781383,0.16340399478405754,0.2196054942905903,0.07694473767123956,0.07540584291781477,9.113232135772705,0.21735816069907585,0.21301099748509433,10.389626026153564,0.2637072542246859,0.2584331091401922,10.333090782165527,0.3148240513907269,0.30852757036291234,0.8336653560400009,0.44310594428226907,0.4342438253966237,0.04559616278856993,0.015944837101573982,0.0156259403595425,10.433496236801147,0.47151852648180764,0.4620881559521715
