config_name,scheduler,num_steps,guidance_scale,dataset_name,suite_name,traj_name,latency_ms,latency_std_ms,diversity,path_length_mean,endpoint_norm_mean,forward_progress_mean,lateral_abs_mean,smoothness_mean
ddpm10_w0.0,ddpm,10,0.0,go_stanford,short,no9vc_56_0,54.36421449996942,29.183066932306367,0.2124338448047638,9.340652465820312,10.653444290161133,10.625284194946289,0.5982478260993958,0.05266347900032997
ddpm10_w0.0,ddpm,10,0.0,go_stanford,short,no26vcF_20_0,45.89270800005352,5.031533442426853,0.22638729214668274,8.520277976989746,9.682670593261719,9.114398956298828,3.21494197845459,0.09707516431808472
ddpm10_w0.0,ddpm,10,0.0,go_stanford,short,sim2hF_0_0,42.61466075001863,1.5102756176541967,0.19821500778198242,7.238901138305664,8.118741989135742,7.926975250244141,1.7021281719207764,0.06796108186244965
ddpm10_w0.0,ddpm,10,0.0,go_stanford,short,no14vc_16_1,44.22116737492843,6.567781043359407,0.1729716658592224,6.8729143142700195,7.8651323318481445,7.846607208251953,0.4442116916179657,0.07305601239204407
ddpm10_w0.0,ddpm,10,0.0,go_stanford,short,no5vc_144_0,43.7280825000812,5.894959738055904,0.19873520731925964,4.417196273803711,4.81340217590332,4.475522041320801,1.7289512157440186,0.07820061594247818
ddpm10_w0.0,ddpm,10,0.0,go_stanford,short,no31vcF_25_0,42.7617105000877,1.3005007526696704,0.5463902354240417,2.996708869934082,1.5579521656036377,0.27452799677848816,1.3459516763687134,0.21416108310222626
ddpm10_w0.0,ddpm,10,0.0,go_stanford,short,sim4h_0_0,42.00847162496757,3.8511106435891245,0.16923487186431885,9.305130004882812,10.55662727355957,10.372724533081055,1.8909409046173096,0.06163204461336136
ddpm10_w0.0,ddpm,10,0.0,go_stanford,short,no4vcF_61_0,41.570709124926,1.9137259960377424,0.16408011317253113,9.413066864013672,10.728949546813965,10.64016342163086,1.2670650482177734,0.049070026725530624
ddpm10_w0.0,ddpm,10,0.0,go_stanford,medium,no9vc_56_0,41.99550512493033,1.2086786247030732,0.38155925273895264,9.428152084350586,10.481569290161133,9.322724342346191,4.673666954040527,0.07151702791452408
ddpm10_w0.0,ddpm,10,0.0,go_stanford,medium,no26vcF_20_0,44.53054687508029,4.068250520117135,0.20901015400886536,9.229665756225586,10.423990249633789,10.002490043640137,2.889760732650757,0.05872181057929993
ddpm10_w0.0,ddpm,10,0.0,go_stanford,medium,sim2hF_0_0,44.92305625001336,2.222215019656298,0.17351588606834412,7.0773091316223145,8.039970397949219,8.0242919921875,0.42755839228630066,0.06658445298671722
ddpm10_w0.0,ddpm,10,0.0,go_stanford,medium,no14vc_16_1,43.80865774993481,1.531933580219787,0.16644318401813507,7.2786688804626465,8.233271598815918,8.08804702758789,1.5067087411880493,0.049738794565200806
ddpm10_w0.0,ddpm,10,0.0,go_stanford,medium,no5vc_144_0,44.421339875043486,3.667597095469515,0.22282996773719788,4.877633094787598,5.754511833190918,5.718522071838379,0.5419315695762634,0.07295598834753036
ddpm10_w0.0,ddpm,10,0.0,go_stanford,medium,no31vcF_25_0,40.7987197500006,0.8056681625827157,0.23925943672657013,8.27509593963623,8.564102172851562,7.104540824890137,4.734935283660889,0.23929829895496368
ddpm10_w0.0,ddpm,10,0.0,go_stanford,medium,sim4h_0_0,43.77172737491719,3.778634690933265,0.14315953850746155,9.403373718261719,10.483992576599121,9.999676704406738,3.1206090450286865,0.1228489801287651
ddpm10_w0.0,ddpm,10,0.0,go_stanford,medium,no4vcF_61_0,42.92919125003891,2.666106769450831,0.36049914360046387,8.995454788208008,9.916389465332031,8.342504501342773,5.282077789306641,0.11848163604736328
ddpm10_w0.0,ddpm,10,0.0,go_stanford,long,no9vc_56_0,40.92003512488418,1.2687178566725335,0.541263222694397,8.417266845703125,8.565799713134766,3.409519672393799,7.750794410705566,0.17958396673202515
ddpm10_w0.0,ddpm,10,0.0,go_stanford,long,no26vcF_20_0,44.54169724994017,4.717592491707322,0.3671268820762634,8.832683563232422,10.006363868713379,9.548675537109375,2.79406476020813,0.07440514862537384
ddpm10_w0.0,ddpm,10,0.0,go_stanford,long,sim2hF_0_0,43.761746250027045,6.197248794466637,0.19147774577140808,7.490145206451416,8.624444961547852,8.613750457763672,0.33543574810028076,0.03753339499235153
ddpm10_w0.0,ddpm,10,0.0,go_stanford,long,no14vc_16_1,50.867325499950766,3.163291294079227,0.2495012879371643,6.676983833312988,7.543724060058594,7.223353385925293,2.117974281311035,0.06382511556148529
ddpm10_w0.0,ddpm,10,0.0,go_stanford,long,no5vc_144_0,50.5307617499966,3.393608022687286,0.20497438311576843,7.42596435546875,8.552591323852539,8.536844253540039,0.4341452121734619,0.04642843082547188
ddpm10_w0.0,ddpm,10,0.0,go_stanford,long,no31vcF_25_0,47.48794350001617,2.3242167728430414,0.22833070158958435,9.334909439086914,9.995030403137207,9.220098495483398,3.7970008850097656,0.21453310549259186
ddpm10_w0.0,ddpm,10,0.0,go_stanford,long,sim4h_0_0,49.14819462499054,5.222736792432951,0.12838011980056763,8.847633361816406,9.966516494750977,9.873723983764648,1.3159539699554443,0.10474756360054016
ddpm10_w0.0,ddpm,10,0.0,go_stanford,long,no4vcF_61_0,46.19288262489363,3.5618333751666316,0.39146560430526733,8.271655082702637,8.95379638671875,8.121484756469727,3.6096792221069336,0.20662589371204376
ddpm10_w0.5,ddpm,10,0.5,go_stanford,short,no9vc_56_0,88.54045024980906,4.911371295516189,0.19899892807006836,9.359047889709473,10.673337936401367,10.648651123046875,0.5625668168067932,0.050951357930898666
ddpm10_w0.5,ddpm,10,0.5,go_stanford,short,no26vcF_20_0,81.45643612493814,4.403845415685369,0.21684584021568298,8.552379608154297,9.724689483642578,9.160612106323242,3.2152109146118164,0.09561161696910858
ddpm10_w0.5,ddpm,10,0.5,go_stanford,short,sim2hF_0_0,81.80609899994806,5.901634193946751,0.20013222098350525,7.277883052825928,8.13073444366455,7.872346878051758,1.9891420602798462,0.07480431348085403
ddpm10_w0.5,ddpm,10,0.5,go_stanford,short,no14vc_16_1,81.30816987494427,8.547835832906594,0.15106388926506042,6.856621742248535,7.8565497398376465,7.839137077331543,0.44389525055885315,0.06632861495018005
ddpm10_w0.5,ddpm,10,0.5,go_stanford,short,no5vc_144_0,79.61345399996844,4.588808202724205,0.18760070204734802,4.473759651184082,4.868174076080322,4.489919662475586,1.846778154373169,0.0799359381198883
ddpm10_w0.5,ddpm,10,0.5,go_stanford,short,no31vcF_25_0,85.45359850000978,4.575260285321506,0.5590311288833618,3.0279316902160645,1.589036226272583,0.26168522238731384,1.3858389854431152,0.21412751078605652
ddpm10_w0.5,ddpm,10,0.5,go_stanford,short,sim4h_0_0,82.57168199992293,3.2289441897090407,0.15941675007343292,9.301706314086914,10.569648742675781,10.421147346496582,1.6984262466430664,0.056226544082164764
ddpm10_w0.5,ddpm,10,0.5,go_stanford,short,no4vcF_61_0,80.58805212505149,5.062551258036807,0.15572026371955872,9.438673973083496,10.757177352905273,10.673343658447266,1.238006353378296,0.048206694424152374
ddpm10_w0.5,ddpm,10,0.5,go_stanford,medium,no9vc_56_0,80.26683137501323,6.32798054705085,0.3747090697288513,9.46461296081543,10.51250171661377,9.296231269836426,4.799140930175781,0.07015810161828995
ddpm10_w0.5,ddpm,10,0.5,go_stanford,medium,no26vcF_20_0,83.59676050008602,6.125779953392324,0.21813254058361053,9.235406875610352,10.408317565917969,9.89079475402832,3.1977829933166504,0.06220804899930954
