config_name,scheduler,num_steps,guidance_scale,num_cases,latency_ms_mean,latency_ms_std,latency_ms_ci95,diversity_mean,diversity_std,diversity_ci95,path_length_mean_mean,path_length_mean_std,path_length_mean_ci95,endpoint_norm_mean_mean,endpoint_norm_mean_std,endpoint_norm_mean_ci95,forward_progress_mean_mean,forward_progress_mean_std,forward_progress_mean_ci95,lateral_abs_mean_mean,lateral_abs_mean_std,lateral_abs_mean_ci95,smoothness_mean_mean,smoothness_mean_std,smoothness_mean_ci95,composite_score
ddim2_w0.0,ddim,2,0.0,24,9.988021583337078,0.5915472049160766,0.23666817243295146,0.38970090448856354,0.15390992477648768,0.061576794401914395,7.827319115400314,1.6702949466456287,0.6682571554077371,8.674884835879007,2.041563643137076,0.8167955698402097,8.088916790982088,2.26707071032191,0.9070171870126232,2.311768832306067,1.6886827985652149,0.6756138283369814,0.12366901167357962,0.058639545850705535,0.02346070446018529,5.0919
ddim3_w0.0,ddim,3,0.0,24,14.599440270828268,0.9663189812399006,0.38660811069129175,0.3207520532111327,0.1436647705211895,0.05747787902585562,7.8270473182201385,1.6887391098806925,0.6756363575552933,8.68063497543335,2.0744790694874258,0.8299644830468808,8.076137681802114,2.3177212861300824,0.927281637777626,2.3420341052114964,1.7594728401736055,0.7039357435361028,0.1074690589060386,0.05846702437286691,0.023391681493757293,4.9942
ddim5_w0.0,ddim,5,0.0,24,24.627592520831836,1.1843981336936658,0.4738579430428484,0.29056312640508014,0.13392407698684528,0.05358078997219376,7.83197695016861,1.708410462352239,0.6835065376525619,8.67431952059269,2.1088724534170606,0.8437247024355707,8.03171561906735,2.385802477739582,0.9545197872632004,2.3964472276469073,1.8385755691394665,0.735583426330015,0.10434880976875623,0.061068972942837904,0.024432677728211533,4.7481
ddim3_w1.0,ddim,3,1.0,24,26.621545072901636,0.9628953907914016,0.3852383892424006,0.3070496488362551,0.13834900955494972,0.05535113170541334,7.923612892627716,1.649535144413922,0.6599515047117042,8.762655834356943,2.0460232276763444,0.8185797752492583,8.108592197299004,2.340718466373331,0.9364824261070255,2.4520895245174565,1.8241604882727398,0.7298161928516903,0.10959954264884193,0.06185327152606263,0.02474646251290996,4.7227
ddim3_w0.5,ddim,3,0.5,24,27.03791177082356,1.1870423263881964,0.47491584044710355,0.3129736855626106,0.1380868366682509,0.05524624070526858,7.874431073665619,1.6686848113180635,0.667612967112741,8.721362700064978,2.0596653623284897,0.8240377658362742,8.09270060310761,2.3280316489081136,0.9314066419962556,2.395621823767821,1.7951621168197411,0.7182144279912059,0.10827156389132142,0.06006968433666816,0.024032879020365692,4.7174
ddim2_w0.5,ddim,2,0.5,24,17.826802526037966,0.957576830847434,0.3831105220976433,0.38198865577578545,0.14786022406426294,0.05915641002780231,7.874564220507939,1.6515043437120178,0.6607393485137939,8.715990751981735,2.0275064787390464,0.81117153277263,8.105710797011852,2.2776829699291135,0.9112629751183706,2.3650793991982937,1.7322811389625232,0.6930567973125589,0.12456202662239473,0.06012546039565155,0.0240551940914799,4.7027
ddim3_w2.0,ddim,3,2.0,24,26.724523197901345,0.9744191923570472,0.38984887008544383,0.2987225043276946,0.14552962732631922,0.05822397713645665,8.026450415452322,1.6137314340274944,0.6456270372253323,8.8466015458107,2.0220692714624997,0.808996196808593,8.137951622406641,2.3737298704620864,0.9496897384063707,2.571127853045861,1.878387941085794,0.7515116924606867,0.11352624682088693,0.06600380271484943,0.026407020830002337,4.7018
ddim2_w1.0,ddim,2,1.0,24,18.82457198955952,1.2988143863729393,0.5196339778092913,0.37596482659379643,0.14736808632738768,0.058959513925845274,7.924229611953099,1.6336558088121764,0.6535984473308519,8.758158644040426,2.014558421478149,0.8059912309758721,8.121875959138075,2.29085779947868,0.9165340047263187,2.421756647527218,1.7688118245910476,0.7076721154707303,0.12594352445254722,0.06183036177715276,0.024737296704399097,4.6769
ddim2_w2.0,ddim,2,2.0,24,18.842012036436984,1.5401045456323643,0.6161701469322365,0.36714737117290497,0.15340370239148024,0.061374263267106044,8.02871267000834,1.600476140761068,0.6403238154260289,8.844495038191477,1.9913942189287392,0.7967236198069321,8.151767099897066,2.325672529568769,0.9304627976877136,2.5419985527793565,1.835360235394761,0.734297024915559,0.12995118368417025,0.06589005706493162,0.02636151309221822,4.6659
ddim5_w0.5,ddim,5,0.5,24,44.19491406769301,1.5311231471020346,0.6125768391481744,0.28397199138998985,0.132112970121955,0.05285619631638372,7.878687173128128,1.6871389493657813,0.6749961600165066,8.714543382326761,2.0926231519161598,0.8372236278677755,8.048877542217573,2.394402944325411,0.9579606905284397,2.4478314282993474,1.8652462084411108,0.7462539043724802,0.10509170374522607,0.06269159481757848,0.025081861682514996,4.558
ddim5_w1.0,ddim,5,1.0,24,44.13129322397916,1.170333069636008,0.4682307454531809,0.27868781114617985,0.13384968429961036,0.053551026698554834,7.927104165156682,1.6666998220275089,0.6668188059979722,8.755202402671179,2.0775120053372076,0.8311779101051255,8.065120513240496,2.405603191327593,0.9624417225860251,2.5033773742616177,1.8868753335243444,0.7549073566451501,0.10638160336141785,0.06443865640621516,0.02578083189127308,4.5307
ddim10_w0.0,ddim,10,0.0,24,41.61065860417305,2.7180723744854594,1.0874554322359269,0.3312273093809684,0.15004865174351575,0.060031963449483895,7.826941251754761,1.6919961242061072,0.6769394346750529,8.65867813428243,2.074027860518633,0.8297839618625321,7.9809548904498415,2.3807691071063664,0.9525060196060448,2.4499438293278217,1.8380211447418995,0.7353616103737668,0.10953572920213143,0.06176593237507208,0.024711519575009156,4.5029
ddpm10_w0.0,ddpm,10,0.0,24,44.907960635403775,3.391775578904737,1.3569928500904396,0.2536351978778839,0.11613786591070804,0.04646482351184456,7.83197679122289,1.7232399457716023,0.6894395666818908,8.670124381780624,2.1474354464506007,0.8591531128970611,8.017768818885088,2.4539636476512365,0.9817899347338012,2.3968639795978866,1.8735827856853502,0.7495892299125951,0.1009020465426147,0.06195788820973925,0.02478831790352964,4.4938
ddim5_w2.0,ddim,5,2.0,24,43.75858623439418,1.322657982474915,0.5291734030094908,0.2709644107768933,0.14171504057435944,0.05669782458654924,8.028610189755758,1.628767486984747,0.6516427112821523,8.838185449441275,2.0507989837882596,0.8204904756322529,8.09491240978241,2.4355213420039536,0.9744114757761403,2.6195610066254935,1.9305916262950775,0.7723975163984382,0.11020249205951889,0.06844216425373281,0.027382568621188673,4.4799
ddim10_w0.5,ddim,10,0.5,24,80.91381918751021,4.281941988831947,1.7131335868699546,0.3237258394559224,0.14872804911218923,0.059503612358195186,7.871700654427211,1.6709439522189231,0.66851681171522,8.697976301113764,2.05612525164678,0.8226214265850906,7.999301202595234,2.385672577122403,0.9544678161924047,2.497928765912851,1.864079195810394,0.745787002079269,0.1101029875377814,0.06316622064645705,0.025271751562099674,4.4067
ddim10_w1.0,ddim,10,1.0,24,89.21236080207251,3.3516771030037837,1.3409501185384043,0.31778883934020996,0.1514661740998148,0.060599090506564215,7.918567041556041,1.6505039841789442,0.6603391213459519,8.737832854191462,2.039887892501441,0.8161251299546127,8.016751617193222,2.3936967678350975,0.957678161090402,2.5497003669540086,1.886552532739973,0.7547782094341378,0.11121879611164331,0.0647472689544719,0.025904302625609762,4.3988
ddim10_w2.0,ddim,10,2.0,24,87.53041553123826,4.907352088754378,1.9633497389194774,0.30876999348402023,0.1616169936392217,0.06466026413585886,8.018217494090399,1.6133426630737617,0.6454714964496339,8.820102771123251,2.0119634713406223,0.8049530346975375,8.049166038632393,2.4176071443597946,0.9672443040241459,2.6602875677247844,1.9325432984738358,0.7731783478923517,0.11472299927845597,0.06853149450943528,0.027418308166882358,4.3937
