dataset_name,suite_name,traj_name,config_name,scheduler_kind,num_steps,latency_ms,latency_std_ms,mse_vs_baseline,diversity,path_length_mean,endpoint_norm_mean,forward_progress_mean,lateral_abs_mean,smoothness_mean
go_stanford,short,no6vc_72_1,ddpm_10,ddpm,10,42.131911250010035,24.292642476482968,0.0,0.3807390332221985,8.26722526550293,8.632633209228516,5.889644622802734,6.243084907531738,0.2122824788093567
go_stanford,short,no6vc_72_1,ddim_10,ddim,10,32.85403887497296,1.264254474626812,0.01497395895421505,0.5093299746513367,8.336143493652344,8.563777923583984,5.551671981811523,6.394092082977295,0.23425206542015076
go_stanford,short,no6vc_72_1,ddim_5,ddim,5,22.23658487503144,4.816920863421337,0.005374572239816189,0.35581445693969727,8.347784996032715,8.663045883178711,5.914994239807129,6.27011775970459,0.22570496797561646
go_stanford,short,no6vc_72_1,ddim_3,ddim,3,12.03808987494881,1.311777593912227,0.02431412786245346,0.32279980182647705,8.309194564819336,8.734789848327637,6.207305908203125,6.087759494781494,0.21635109186172485
go_stanford,short,no6vc_72_1,ddim_2,ddim,2,8.264020750033296,0.7356806376789438,0.038857147097587585,0.5080528259277344,8.20506477355957,8.606978416442871,6.178530693054199,5.875179290771484,0.2192590832710266
go_stanford,short,no6vc_72_1,ddim_1,ddim,1,4.30915874997595,1.078066419811259,6.29354190826416,5.09467887878418,21.859909057617188,12.259471893310547,8.926460266113281,5.863218784332275,4.0529375076293945
go_stanford,short,no8vc_15_0,ddpm_10,ddpm,10,37.69950550002932,1.3894006232559046,0.0,0.25174522399902344,6.969144821166992,7.731304168701172,7.482715606689453,1.8709323406219482,0.18253737688064575
go_stanford,short,no8vc_15_0,ddim_10,ddim,10,39.99468825000463,7.853980105806254,0.00134695740416646,0.3566255569458008,6.988859176635742,7.696231842041016,7.412661552429199,1.9312684535980225,0.1914275586605072
go_stanford,short,no8vc_15_0,ddim_5,ddim,5,18.436776249984632,0.8517274467776472,0.0019460637122392654,0.30902063846588135,7.06557035446167,7.826650619506836,7.585636138916016,1.8183932304382324,0.17811089754104614
go_stanford,short,no8vc_15_0,ddim_3,ddim,3,10.992488249968346,1.199908451397786,0.0008324234513565898,0.2777343690395355,7.0303192138671875,7.812067031860352,7.5692644119262695,1.856982946395874,0.17935431003570557
go_stanford,short,no8vc_15_0,ddim_2,ddim,2,7.885584374946575,1.7625673536525859,0.01763341948390007,0.3679041862487793,6.963376998901367,7.781337738037109,7.599835395812988,1.5259068012237549,0.19349491596221924
go_stanford,short,no8vc_15_0,ddim_1,ddim,1,4.6044591250336,1.2479220795243227,1.4911545515060425,4.901474952697754,22.727954864501953,13.45256233215332,10.694106101989746,6.06112813949585,4.013211250305176
go_stanford,short,no17vcF_5_2,ddpm_10,ddpm,10,35.793972749985414,1.1619850600492627,0.0,0.1437240093946457,7.473331451416016,8.4939546585083,8.491439819335938,0.16941121220588684,0.02280384674668312
go_stanford,short,no17vcF_5_2,ddim_10,ddim,10,33.75563225000633,0.8629688419552668,0.00014010367158334702,0.17784273624420166,7.475464820861816,8.494843482971191,8.490922927856445,0.1988239735364914,0.029525339603424072
go_stanford,short,no17vcF_5_2,ddim_5,ddim,5,17.171767499974067,0.9737270511040202,0.0002782932133413851,0.13264794647693634,7.509654521942139,8.529741287231445,8.527090072631836,0.17473354935646057,0.023135099560022354
go_stanford,short,no17vcF_5_2,ddim_3,ddim,3,10.61922849999064,1.1277779244051391,0.0010529088322073221,0.19627228379249573,7.56058406829834,8.581443786621094,8.577240943908691,0.21634715795516968,0.03728284686803818
go_stanford,short,no17vcF_5_2,ddim_2,ddim,2,7.162264625009129,1.162919345737491,0.003541194600984454,0.47613343596458435,7.5780205726623535,8.46085262298584,8.379743576049805,0.20362846553325653,0.07822748273611069
