config_id,stabilizer_mode,radius_m,timeout_factor,secondary_analysis,primary_condition_reuses_terminal_outcome,nonprimary_condition_is_trajectory_approximation,success_n,trial_n,success_rate
ddim3_cfg0_standard_k8,system_stabilizer_on,0.4,1.25,True,False,True,0,6,0.0
ddim3_cfg0_standard_k8,system_stabilizer_on,0.5,0.75,True,False,True,0,6,0.0
ddim3_cfg0_standard_k8,system_stabilizer_on,0.5,1.0,True,True,False,0,6,0.0
ddim3_cfg0_standard_k8,system_stabilizer_on,0.5,1.25,True,False,True,0,6,0.0
ddim3_cfg0_standard_k8,system_stabilizer_on,0.6,0.75,True,False,True,0,6,0.0
ddim3_cfg0_standard_k8,system_stabilizer_on,0.6,1.0,True,False,True,0,6,0.0
ddim3_cfg0_standard_k8,system_stabilizer_on,0.6,1.25,True,False,True,0,6,0.0
ddim3_cfg0_standard_k8,system_stabilizer_on,0.75,0.75,True,False,True,3,6,0.5
ddim3_cfg0_standard_k8,system_stabilizer_on,0.75,1.0,True,False,True,3,6,0.5
ddim3_cfg0_standard_k8,system_stabilizer_on,0.75,1.25,True,False,True,3,6,0.5
ddim2_cfg0_tts8,system_stabilizer_on,0.4,0.75,True,False,True,0,6,0.0
ddim2_cfg0_tts8,system_stabilizer_on,0.4,1.0,True,False,True,0,6,0.0
ddim2_cfg0_tts8,system_stabilizer_on,0.4,1.25,True,False,True,0,6,0.0
ddim2_cfg0_tts8,system_stabilizer_on,0.5,0.75,True,False,True,0,6,0.0
ddim2_cfg0_tts8,system_stabilizer_on,0.5,1.0,True,True,False,0,6,0.0
ddim2_cfg0_tts8,system_stabilizer_on,0.5,1.25,True,False,True,0,6,0.0
ddim2_cfg0_tts8,system_stabilizer_on,0.6,0.75,True,False,True,0,6,0.0
ddim2_cfg0_tts8,system_stabilizer_on,0.6,1.0,True,False,True,0,6,0.0
ddim2_cfg0_tts8,system_stabilizer_on,0.6,1.25,True,False,True,0,6,0.0
ddim2_cfg0_tts8,system_stabilizer_on,0.75,0.75,True,False,True,3,6,0.5
ddim2_cfg0_tts8,system_stabilizer_on,0.75,1.0,True,False,True,3,6,0.5
ddim2_cfg0_tts8,system_stabilizer_on,0.75,1.25,True,False,True,3,6,0.5
ddim2_cfg2_tts8,system_stabilizer_on,0.4,0.75,True,False,True,0,6,0.0
ddim2_cfg2_tts8,system_stabilizer_on,0.4,1.0,True,False,True,0,6,0.0
ddim2_cfg2_tts8,system_stabilizer_on,0.4,1.25,True,False,True,0,6,0.0
ddim2_cfg2_tts8,system_stabilizer_on,0.5,0.75,True,False,True,0,6,0.0
ddim2_cfg2_tts8,system_stabilizer_on,0.5,1.0,True,True,False,0,6,0.0
ddim2_cfg2_tts8,system_stabilizer_on,0.5,1.25,True,False,True,0,6,0.0
ddim2_cfg2_tts8,system_stabilizer_on,0.6,0.75,True,False,True,0,6,0.0
ddim2_cfg2_tts8,system_stabilizer_on,0.6,1.0,True,False,True,0,6,0.0
ddim2_cfg2_tts8,system_stabilizer_on,0.6,1.25,True,False,True,0,6,0.0
ddim2_cfg2_tts8,system_stabilizer_on,0.75,0.75,True,False,True,3,6,0.5
ddim2_cfg2_tts8,system_stabilizer_on,0.75,1.0,True,False,True,3,6,0.5
ddim2_cfg2_tts8,system_stabilizer_on,0.75,1.25,True,False,True,3,6,0.5
