experiment,model_name,config_name,num_cases,latency_ms_mean,latency_ms_std,latency_ms_ci95,diversity_mean,diversity_std,diversity_ci95,path_length_mean_mean,path_length_mean_std,path_length_mean_ci95,endpoint_norm_mean_mean,endpoint_norm_mean_std,endpoint_norm_mean_ci95,forward_progress_mean_mean,forward_progress_mean_std,forward_progress_mean_ci95,lateral_abs_mean_mean,lateral_abs_mean_std,lateral_abs_mean_ci95,smoothness_mean_mean,smoothness_mean_std,smoothness_mean_ci95
encoder_x_cfg,efficientnet_b0,ddim2_cfg0_tts0,12,5.3856353611334065,0.3578973326677363,0.20249947893080728,0.6112755810221037,0.09234963557697436,0.05225172522073139,7.84736414750417,0.31597942796357403,0.17878219163729037,8.733957211176554,0.32279427545216044,0.18263805458867155,8.28991719086965,0.32590221493137417,0.18439653688972166,2.3609241942564645,0.42333275116672625,0.23952305228603638,0.1295447430262963,0.015835642917094488,0.008959858446955788
encoder_x_cfg,efficientnet_b0,ddim2_cfg1p0_tts0,12,10.080596833366448,0.3786503823564322,0.21424162217859605,0.5141333068410555,0.08380867952219898,0.047419224408917285,8.034748037656149,0.3470372050474646,0.19635478327790967,8.878322203954061,0.30532245120411144,0.1727524394044835,8.32537074883779,0.2522525933241934,0.14272534060631417,2.80452299118042,0.6208209798635399,0.3512625366459264,0.13753538144131502,0.021210051806072407,0.012000716537366576
encoder_x_cfg,efficientnet_b0,ddim2_cfg2p0_tts0,12,10.04231111114172,0.28717577654245013,0.16248499165369293,0.4337017039457957,0.07508973667189281,0.042486018087277526,8.241211930910746,0.42619909103020115,0.24114483673596723,9.038049936294556,0.35980661427953003,0.20357975669828463,8.363227526346842,0.24388639746522306,0.1379917196836699,3.2259397010008493,0.7524924898377773,0.42576270673959216,0.14655319725473723,0.02572050892550711,0.014552747896798989
encoder_x_cfg,resnet50,ddim2_cfg0_tts0,12,5.560100861038741,0.31766121031328753,0.17973374957976931,0.9432289799054464,0.1698690306116796,0.09611245193962131,7.617006421089172,0.2645300030982077,0.1496719391275331,8.537503719329834,0.34381918307574993,0.19453401594331463,8.084771553675333,0.5125838034499283,0.29002158896597713,2.01626784602801,0.512854682966269,0.29017485348042094,0.10859521167973678,0.020296272992384467,0.011483697502185319
encoder_x_cfg,resnet50,ddim2_cfg1p0_tts0,12,10.183306916638282,0.5680894396871591,0.3214268591086217,0.9416831582784653,0.17909338692904847,0.10133162285049659,7.620780309041341,0.2656739997548881,0.15031921616966581,8.543495655059814,0.3561889561906269,0.20153287394424965,8.095298488934835,0.5477565078912277,0.30992241993574227,1.983399083216985,0.5618402200379491,0.3178910302348591,0.10794701799750328,0.021242371914816663,0.012019003360380637
encoder_x_cfg,resnet50,ddim2_cfg2p0_tts0,12,9.93319705553909,0.18536259914855363,0.104878763585784,0.9400440653165182,0.18912215010710554,0.10700592978857704,7.6270991563797,0.2734400764326593,0.15471328770091514,8.550934394200643,0.3781198878969396,0.21394146668198422,8.105219920476278,0.592455614316132,0.33521332024015743,1.9594951023658116,0.5986093978175915,0.3386951510300377,0.10756215204795201,0.022163316735262825,0.012540076945574151
encoder_x_ddim,convnext_tiny,ddim2_cfg0_tts0,12,5.407553861118686,0.1544863087677236,0.08740885771409374,0.4603746384382248,0.2188005567115633,0.12379806910993582,7.745978315671285,1.8799574263307726,1.0636860476339656,8.243309338887533,2.6172821546507135,1.4808667854021373,6.767800455292066,4.178456390103869,2.364184263191109,2.7851348469654718,2.0779205018539626,1.1756942018780272,0.15172399549434581,0.0806108002369869,0.04560985387208723
encoder_x_ddim,convnext_tiny,ddim3_cfg0_tts0,12,8.041612638900611,0.2961606061187211,0.16756863755268625,0.43816113968690235,0.23416636105087157,0.13249209135611828,7.774208505948384,1.8824357833554501,1.0650883101274042,8.273517807324728,2.5978053329109994,1.4698467360932426,6.743917216857274,4.217597197906838,2.3863302599940255,2.829214279850324,2.136895303206383,1.2090623369655273,0.14723084587603807,0.07997067144444628,0.04524766691201165
encoder_x_ddim,convnext_tiny,ddim5_cfg0_tts0,12,13.320697222222103,0.5383807985202336,0.3046176129731389,0.4149526258309682,0.2401334168155638,0.13586827098309257,7.7970132033030195,1.8857658504709225,1.066972472970031,8.298762559890747,2.5746024016639586,1.4567184418638046,6.687498946984609,4.300133285127565,2.433029447525276,2.866286958257357,2.2016443865535256,1.2456975796517764,0.14626852795481682,0.08210425378967809,0.04645485476654231
encoder_x_ddim,dinov2_small,ddim2_cfg0_tts0,12,5.671178277743315,0.2552386857492549,0.14441488144643985,0.39027305940787,0.11643678834660902,0.0658803148735804,7.397399385770162,1.6188544415153876,0.9159531266359757,7.822309116522471,2.3476083503461074,1.3282844667636557,6.607479413350423,3.432664516393859,1.9422127869261179,3.0005164643128714,1.439624316189096,0.8145441367540315,0.1661790320649743,0.07887202177169268,0.04462604734138846
encoder_x_ddim,dinov2_small,ddim3_cfg0_tts0,12,8.12397352783339,0.4096205473005727,0.23176464258459573,0.35785039390126866,0.10595701587882676,0.05995082540736668,7.415809611479442,1.619837639010997,0.9165094229879572,7.834129790465037,2.354975186704279,1.3324526468190327,6.586482214430968,3.4700969125736503,1.9633921588567167,3.0458112905422845,1.4719831637194825,0.8328528782997194,0.16268249911566576,0.07996934421632906,0.04524691596201112
encoder_x_ddim,dinov2_small,ddim5_cfg0_tts0,12,12.771408777755115,0.3969333888490117,0.22458620692428075,0.32710955788691837,0.09652235554916559,0.05461266379994498,7.438949267069499,1.6080285237971141,0.9098277870572833,7.837879399458568,2.351593321398721,1.330539176391396,6.524985158195098,3.517985307761942,1.9904875691526756,3.133753930528959,1.5143826351565899,0.856842637622477,0.16255497497816881,0.08154482670059886,0.04613832909367989
encoder_x_ddim,efficientnet_b0,ddim2_cfg0_tts0,12,5.650439611107079,0.2855004055488275,0.16153706127741563,0.6112755810221037,0.09234963557697436,0.05225172522073139,7.84736414750417,0.31597942796357403,0.17878219163729037,8.733957211176554,0.32279427545216044,0.18263805458867155,8.28991719086965,0.32590221493137417,0.18439653688972166,2.3609241942564645,0.42333275116672625,0.23952305228603638,0.1295447430262963,0.015835642917094488,0.008959858446955788
encoder_x_ddim,efficientnet_b0,ddim3_cfg0_tts0,12,8.6109503889323,0.6396406109795957,0.36191074535501255,0.5985879401365916,0.09318096928751095,0.052722096547464806,7.848467747370402,0.3185194337402214,0.18021933519580313,8.727457841237387,0.32448591443810276,0.1835951894480989,8.263620654741922,0.3287069545522409,0.18598346772133362,2.4171893994013467,0.43698792476239495,0.247249194074301,0.12701763150592646,0.01649577957377037,0.009333365921860874
encoder_x_ddim,efficientnet_b0,ddim5_cfg0_tts0,12,13.035524805559362,0.6493691439100309,0.36741518103909526,0.5688426345586777,0.09208721419867391,0.052103246348396574,7.852923949559529,0.33172819366337125,0.187692894671149,8.717670122782389,0.33340498171011346,0.18864162682070634,8.226101080576578,0.3335966750218979,0.1887500875221637,2.5205500622590384,0.4713795294659124,0.2667080762630712,0.12732524114350477,0.017643668122256893,0.009982845009079888
encoder_x_ddim,resnet50,ddim2_cfg0_tts0,12,5.406079499986542,0.18200025781556284,0.10297633988554857,0.9432289799054464,0.1698690306116796,0.09611245193962131,7.617006421089172,0.2645300030982077,0.1496719391275331,8.537503719329834,0.34381918307574993,0.19453401594331463,8.084771553675333,0.5125838034499283,0.29002158896597713,2.01626784602801,0.512854682966269,0.29017485348042094,0.10859521167973678,0.020296272992384467,0.011483697502185319
encoder_x_ddim,resnet50,ddim3_cfg0_tts0,12,7.81900261112393,0.20479460366810956,0.11587345516523846,0.9922767778237661,0.18718601351099673,0.10591045738332476,7.685311953226726,0.2579767048264619,0.1459640615766862,8.578982512156168,0.3422687715762207,0.19365678805663888,8.049246629079184,0.543337046043607,0.3074218739980932,2.1566221614678702,0.5565219484685838,0.31488193482310645,0.10701180746157964,0.023832419176119217,0.013484460554236981
encoder_x_ddim,resnet50,ddim5_cfg0_tts0,12,12.794312138870133,0.3184073291261088,0.18015590603925052,1.0009186168511708,0.20664004861149174,0.11691761393737807,7.6885400613149,0.24903824003509634,0.14090664902431804,8.569935321807861,0.3442499147700617,0.19477772534178087,8.003982742627462,0.585986628277445,0.33155314682595394,2.2091298401355743,0.6162407112032864,0.34867100568884735,0.10561906856795152,0.02630957790154296,0.014886045046046832
encoder_x_tts,convnext_tiny,ddim2_cfg0_tts0,12,5.531959805555036,0.35725511926598513,0.2021361124920366,0.4603746384382248,0.2188005567115633,0.12379806910993582,7.745978315671285,1.8799574263307726,1.0636860476339656,8.243309338887533,2.6172821546507135,1.4808667854021373,6.767800455292066,4.178456390103869,2.364184263191109,2.7851348469654718,2.0779205018539626,1.1756942018780272,0.15172399549434581,0.0806108002369869,0.04560985387208723
encoder_x_tts,convnext_tiny,ddim2_cfg0_tts16,12,11.022273888923133,0.42006331725565044,0.23767319590835223,0.3275590781122446,0.16635080203942185,0.09412182673062294,7.74327810605367,2.167882110821769,1.2265947738492362,8.303774933020273,3.0048530385930006,1.700155656492795,7.295263734956582,4.095592526641337,2.3172996187924473,2.103359748919805,2.038060784335237,1.1531414436115535,0.14421493777384362,0.09637783365450127,0.0545308928402525
encoder_x_tts,convnext_tiny,ddim2_cfg0_tts8,12,5.553903111174603,0.22460032369926922,0.12707959620089315,0.3208133454124133,0.15950061748239708,0.09024596995058602,7.725133538246155,2.1140387774713982,1.1961300401054107,8.246351738770803,2.9360463670876626,1.6612246171834593,7.085322745144367,4.102566193062992,2.321245342014513,2.3625911523898444,2.1716770526431457,1.2287419643177244,0.14136518631130457,0.07815639114450817,0.04422114119684805
encoder_x_tts,dinov2_small,ddim2_cfg0_tts0,12,5.432867861082337,0.2734894104290931,0.15474120103711397,0.39027305940787,0.11643678834660902,0.0658803148735804,7.397399385770162,1.6188544415153876,0.9159531266359757,7.822309116522471,2.3476083503461074,1.3282844667636557,6.607479413350423,3.432664516393859,1.9422127869261179,3.0005164643128714,1.439624316189096,0.8145441367540315,0.1661790320649743,0.07887202177169268,0.04462604734138846
encoder_x_tts,dinov2_small,ddim2_cfg0_tts16,12,10.70878802780347,0.3634737216190151,0.20565461799969162,0.2831021628032128,0.11227598606641816,0.06352611936339765,7.45177561044693,1.8606345953395538,1.0527531267931654,8.029196153084436,2.600991175595703,1.4716492962822199,7.2589889119068784,3.376534329892319,1.9104541442055165,2.218293771147728,1.544706538864853,0.8740000013119461,0.14959072911490998,0.07919702021044159,0.04480993251876439
encoder_x_tts,dinov2_small,ddim2_cfg0_tts8,12,5.543904361123471,0.24827371845158386,0.14047408021711666,0.3072476287682851,0.12317700965520129,0.06969395408875552,7.454863667488098,1.804217497670334,1.0208321487974683,7.981331427892049,2.5030263895948,1.4162205006248691,7.01259861389796,3.39758693975797,1.9223657795791325,2.6233382100860276,1.5327678493316077,0.8672450518084713,0.15614084899425507,0.08048451120656161,0.04553839912648972
encoder_x_tts,efficientnet_b0,ddim2_cfg0_tts0,12,5.424575333336179,0.240830993176818,0.13626296196504398,0.6112755810221037,0.09234963557697436,0.05225172522073139,7.84736414750417,0.31597942796357403,0.17878219163729037,8.733957211176554,0.32279427545216044,0.18263805458867155,8.28991719086965,0.32590221493137417,0.18439653688972166,2.3609241942564645,0.42333275116672625,0.23952305228603638,0.1295447430262963,0.015835642917094488,0.008959858446955788
encoder_x_tts,efficientnet_b0,ddim2_cfg0_tts16,12,10.809732555533932,0.5296687305949844,0.29968829650653483,0.381270632147789,0.0618570561619757,0.03499892426586658,8.48383871714274,0.17744846346208004,0.10040091978417504,9.617902119954428,0.21005859144487854,0.11885183662996837,9.464839696884155,0.22818683240906532,0.12910885453456386,1.4380294233560562,0.3032684685846418,0.17159028933458714,0.09515769965946674,0.017995495375536096,0.010181910017281103
encoder_x_tts,efficientnet_b0,ddim2_cfg0_tts8,12,5.509627111134958,0.3451459917385826,0.19528472861519122,0.41640057414770126,0.041830636557035235,0.02366791069104614,8.286264300346375,0.19958530891992157,0.11292601919458711,9.32882809638977,0.2015590312324144,0.11404275772084194,9.077344417572021,0.19663039484462724,0.1112541191665198,1.8336529632409413,0.43452784819260803,0.24585727472190327,0.1074065783371528,0.014711998946225985,0.008324097020882642
