experiment,model_name,config_name,scheduler,num_steps,cfg_weight,tts_budget,dataset_name,suite_name,traj_name,latency_ms,dist_pred_mean,diversity,path_length_mean,endpoint_norm_mean,forward_progress_mean,lateral_abs_mean,smoothness_mean
encoder_x_ddim,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,short,no4vcF_86_0,5.90838566677121,6.741989612579346,0.6227598190307617,7.664430618286133,8.55553150177002,8.174110412597656,2.1680986881256104,0.13678885996341705
encoder_x_ddim,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,short,no5vcF_119_0,5.460069333518429,6.204920291900635,0.5831936597824097,7.5293660163879395,8.508116722106934,8.292180061340332,1.359500765800476,0.1010967418551445
encoder_x_ddim,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,short,no5vcF_64_2,5.99517566661234,6.724134922027588,0.6518820524215698,8.233684539794922,9.14885425567627,8.708830833435059,2.470243215560913,0.13590361177921295
encoder_x_ddim,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,short,sim2hF_0_13,6.175584333353375,8.347677230834961,0.5781831741333008,8.096667289733887,8.930937767028809,8.323016166687012,2.8176450729370117,0.143014058470726
encoder_x_ddim,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,short,sim12hF_1_4,5.319590000150735,7.8149895668029785,0.489075630903244,7.998528957366943,8.804367065429688,8.286056518554688,2.6854159832000732,0.14286181330680847
encoder_x_ddim,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,short,sim2hF_0_11,5.325535666543146,6.542974472045898,0.5605084896087646,7.68042516708374,8.650280952453613,8.332859992980957,2.0123002529144287,0.10689147561788559
encoder_x_ddim,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,medium,no4vcF_86_0,5.509875999905489,5.022684097290039,0.7511762380599976,7.197956085205078,8.058769226074219,7.650430679321289,2.1861789226531982,0.1221739873290062
encoder_x_ddim,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,medium,no5vcF_119_0,5.405202333198152,6.843746185302734,0.5416874885559082,8.11833667755127,8.966662406921387,8.414624214172363,2.798707962036133,0.14349637925624847
encoder_x_ddim,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,medium,no5vcF_64_2,5.652249666733648,6.397066116333008,0.5414481163024902,8.077560424804688,8.967103004455566,8.513946533203125,2.499663829803467,0.12875919044017792
encoder_x_ddim,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,medium,sim2hF_0_13,5.9437163333010785,8.128021240234375,0.6773207187652588,7.601992130279541,8.380617141723633,7.785730838775635,2.7649154663085938,0.1511734127998352
encoder_x_ddim,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,medium,sim12hF_1_4,5.55952666657807,7.355297565460205,0.5419268012046814,8.151275634765625,9.12226390838623,8.781878471374512,2.1005122661590576,0.11321169137954712
encoder_x_ddim,efficientnet_b0,ddim2_cfg0_tts0,ddim,2,0.0,0,go_stanford,medium,sim2hF_0_11,5.550363666619281,6.697145462036133,0.7961447834968567,7.818146228790283,8.713982582092285,8.215341567993164,2.4679079055786133,0.12916569411754608
