experiment,dataset_name,suite_name,model_name,config_name,num_cases,latency_ms_mean,latency_ms_std,latency_ms_ci95,diversity_mean,diversity_std,diversity_ci95,path_length_mean_mean,path_length_mean_std,path_length_mean_ci95,endpoint_norm_mean_mean,endpoint_norm_mean_std,endpoint_norm_mean_ci95,forward_progress_mean_mean,forward_progress_mean_std,forward_progress_mean_ci95,lateral_abs_mean_mean,lateral_abs_mean_std,lateral_abs_mean_ci95,smoothness_mean_mean,smoothness_mean_std,smoothness_mean_ci95
encoder_x_cfg,go_stanford,medium,efficientnet_b0,ddim2_cfg0_tts0,6,5.431686388899632,0.4530596233217169,0.3625232007306136,0.6416173577308655,0.11585738328147217,0.09270521417806402,7.827544530232747,0.3739555245827543,0.29922673909603603,8.701566378275553,0.4084416162750083,0.32682135953319574,8.22699205080668,0.43651296647620647,0.3492831177652729,2.4696477254231772,0.2873963190622279,0.2299649496478125,0.1313300592203935,0.013893745159413053,0.011117311510563065
encoder_x_cfg,go_stanford,medium,efficientnet_b0,ddim2_cfg1p0_tts0,6,10.203506777795862,0.3531871129189562,0.2826085487235412,0.5383596320947012,0.09775212900771968,0.07821799353094493,8.045225938161215,0.33334785053692473,0.2667338326185456,8.878971735636393,0.32455459135017345,0.25969775987857574,8.30022676785787,0.33096891645970683,0.26483028890905075,2.8843427101771035,0.5126879657503303,0.4102358116955771,0.1394530621667703,0.019825825891324835,0.015863964673248413
encoder_x_cfg,go_stanford,medium,efficientnet_b0,ddim2_cfg2p0_tts0,6,10.054095055617532,0.1754828937525531,0.1404155591050578,0.45019831756750744,0.07834111596638096,0.0626859482659603,8.283110857009888,0.3292837077500221,0.26348184110243567,9.072048505147299,0.27154628679303955,0.2172822824355338,8.376978715260824,0.24735847654570478,0.1979280033557979,3.2894438107808432,0.6707109049798521,0.5366804974928504,0.14822590971986452,0.025458438963777325,0.02037099380228776
encoder_x_cfg,go_stanford,medium,resnet50,ddim2_cfg0_tts0,6,5.685952722135173,0.37222935076485947,0.2978455123760459,1.001300444205602,0.21587516631895148,0.17273610850249554,7.545230944951375,0.16790696913360945,0.13435355688729878,8.408469994862875,0.24260080923112265,0.19412107664216094,7.888585249582927,0.5108760229734692,0.4087859555150762,2.1076523065567017,0.6331673572832061,0.5066394027292461,0.11333366980155309,0.025485686444455657,0.020392796327604257
encoder_x_cfg,go_stanford,medium,resnet50,ddim2_cfg1p0_tts0,6,10.278432722164629,0.7665335743088111,0.6133546017376642,1.006927877664566,0.22446223947613453,0.17960719805805142,7.538104295730591,0.13439203706345623,0.10753602599089977,8.398600578308105,0.22715696564298446,0.1817634280657855,7.87665851910909,0.5329511887464475,0.42644976694458475,2.0943191051483154,0.672517727406033,0.5381262565395042,0.11368494480848312,0.026125579087349946,0.02090481707958657
encoder_x_cfg,go_stanford,medium,resnet50,ddim2_cfg2p0_tts0,6,10.005288111036256,0.212597711846958,0.17011359873937715,1.0122190018494923,0.23418940899643126,0.18739055470036955,7.532723426818848,0.11237438476398628,0.08991823492477853,8.389733791351318,0.23375642170304958,0.1870440927086309,7.86382778485616,0.5733102550853773,0.4587437458262527,2.086686203877131,0.7044741061933554,0.5636966850778107,0.11422571912407875,0.026889374234245925,0.021515980483036934
encoder_x_cfg,go_stanford,short,efficientnet_b0,ddim2_cfg0_tts0,6,5.339584333367181,0.26729460552562434,0.2138802288818556,0.5809338043133417,0.05594793978855262,0.04476767551635743,7.867183764775594,0.28083643256629626,0.22471594725051436,8.766348044077555,0.24472221996074855,0.19581855875749424,8.352842330932617,0.18335869880445443,0.14671751564404992,2.252200663089752,0.5322563112842128,0.42589374917394796,0.1277594268321991,0.018735071031872472,0.01499117901214272
encoder_x_cfg,go_stanford,short,efficientnet_b0,ddim2_cfg1p0_tts0,6,9.957686888937031,0.3929756470087055,0.3144460067270597,0.48990698158741,0.06699622488550643,0.05360814478299941,8.024270137151083,0.39188305767992765,0.31357175318478053,8.877672672271729,0.31583423334809374,0.2527200202352752,8.350514729817709,0.1700919301788332,0.13610188984572652,2.7247032721837363,0.7548386023265384,0.6039966751928445,0.13561770071585974,0.02424492697467248,0.019399981980069227
encoder_x_cfg,go_stanford,short,efficientnet_b0,ddim2_cfg2p0_tts0,6,10.030527166665907,0.3876935972627338,0.3102194866803411,0.417205090324084,0.07492775547405371,0.059954691037930496,8.199313004811605,0.5357046343084071,0.42865298225395315,9.004051367441813,0.4564013661040968,0.36519715185564366,8.349476337432861,0.2630916576406696,0.2105171701555303,3.1624355912208557,0.8866832090530389,0.7094943323866738,0.1448804847896099,0.02829400712873387,0.022639920879728794
encoder_x_cfg,go_stanford,short,resnet50,ddim2_cfg0_tts0,6,5.434248999942308,0.21314659310594497,0.17055279521724936,0.8851575156052908,0.09373621115953355,0.07500459000246094,7.68878189722697,0.3367351982833549,0.2694442753148516,8.666537443796793,0.40156089186171384,0.3213156333345902,8.28095785776774,0.47398805173631475,0.3792694311704292,1.9248833854993184,0.3971149045518992,0.31775810256602466,0.10385675355792046,0.014242814181216494,0.011396624900117154
encoder_x_cfg,go_stanford,short,resnet50,ddim2_cfg1p0_tts0,6,10.088181111111934,0.3173408568360296,0.2539255701033873,0.8764384388923645,0.099819725517992,0.07987241530269287,7.703456322352092,0.34758579929264194,0.2781265643674435,8.688390731811523,0.4208657418300064,0.3367627304491351,8.31393845876058,0.5111913587910165,0.4090382767196102,1.8724790612856548,0.46114407245791705,0.3689921073074373,0.10220909118652344,0.015203992554171345,0.01216572777819288
encoder_x_cfg,go_stanford,short,resnet50,ddim2_cfg2p0_tts0,6,9.861106000041925,0.13386399515106837,0.10711350446316957,0.8678691287835439,0.10649414094636858,0.0852130599321144,7.721474885940552,0.36123202451536457,0.2890458186796278,8.712134997049967,0.44445094444949457,0.3556348230024488,8.346612056096395,0.551067147211765,0.440945552728802,1.8323040008544922,0.5032127930771131,0.4026540945260231,0.10089858497182529,0.015844929460873382,0.012678584115247232
encoder_x_ddim,go_stanford,medium,convnext_tiny,ddim2_cfg0_tts0,6,5.368843277791611,0.10620786817339302,0.0849839940065741,0.46868743499120075,0.2378840420772323,0.19034687687306096,7.2290511926015215,2.2621502210504656,1.8100971626119526,7.309298515319824,3.2505293204714767,2.60096515484288,5.039024919271469,5.319181067847389,4.256231292128226,3.0206852157910666,2.0490974846771217,1.639619468421944,0.19254703695575395,0.09381812005620452,0.07507013076985875
encoder_x_ddim,go_stanford,medium,convnext_tiny,ddim3_cfg0_tts0,6,8.208333111093049,0.3234992491107092,0.2588533102149492,0.4431712081034978,0.2618473390253299,0.2095215078984209,7.27224866549174,2.251499140702514,1.8015745233384097,7.357110341389974,3.2109986353145,2.569334018955926,4.998150805632274,5.361181098627759,4.289838316028637,3.0774255196253457,2.1123384747708074,1.690222799564203,0.18812587733070055,0.0927260918093732,0.07419632618664078
encoder_x_ddim,go_stanford,medium,convnext_tiny,ddim5_cfg0_tts0,6,13.011701611099449,0.48949290747065993,0.3916758996314023,0.42094726860523224,0.2716767572965479,0.21738668058115973,7.311880191167195,2.235048779410286,1.7884114928632822,7.404557943344116,3.1613933693261624,2.529641539481948,4.908101916313171,5.460035561056107,4.368938359999188,3.117984652519226,2.1691524350092988,1.735683435762221,0.18844977269570032,0.09508467597284251,0.07608358657383768
encoder_x_ddim,go_stanford,medium,dinov2_small,ddim2_cfg0_tts0,6,5.577549333288011,0.28372692412394496,0.2270288221950546,0.40059807399908703,0.10128852586187194,0.08104770035235943,6.785496950149536,1.8699525674136728,1.4962736802344812,6.813208222389221,2.7545064038782656,2.2040641596919275,5.038669268290202,4.0375374271812055,3.2307027945679585,3.384674310684204,1.325982244347396,1.061006769502911,0.20498505607247353,0.08207158005842864,0.06567094121886227
encoder_x_ddim,go_stanford,medium,dinov2_small,ddim3_cfg0_tts0,6,8.05041055562267,0.486925686713903,0.38962169520043116,0.36728746940692264,0.09586069531785128,0.07670453137293246,6.806637008984883,1.8692754864952785,1.4957319026646987,6.821159879366557,2.75848564649278,2.2072482169215717,5.003168200453122,4.075733774870187,3.261266238114099,3.4307050506273904,1.3278442456115225,1.0624966808154366,0.20270395651459694,0.08314457598428174,0.06652951677357453
encoder_x_ddim,go_stanford,medium,dinov2_small,ddim5_cfg0_tts0,6,12.630274777797645,0.23723022195515772,0.18982371181672963,0.3358469133575757,0.08930835990192268,0.07146157109801905,6.837342023849487,1.8530162412838993,1.482721796903613,6.827577153841655,2.7467731106210636,2.197876236338187,4.925964919229348,4.11900502723264,3.295890451128374,3.520658771197001,1.323003099038314,1.0586229567831378,0.20366970325509706,0.08424827454039464,0.06741265954906678
encoder_x_ddim,go_stanford,medium,efficientnet_b0,ddim2_cfg0_tts0,6,5.6034891110559535,0.1849152372143489,0.1479630057680162,0.6416173577308655,0.11585738328147217,0.09270521417806402,7.827544530232747,0.3739555245827543,0.29922673909603603,8.701566378275553,0.4084416162750083,0.32682135953319574,8.22699205080668,0.43651296647620647,0.3492831177652729,2.4696477254231772,0.2873963190622279,0.2299649496478125,0.1313300592203935,0.013893745159413053,0.011117311510563065
encoder_x_ddim,go_stanford,medium,efficientnet_b0,ddim3_cfg0_tts0,6,8.826677500059708,0.5920255012376763,0.47371906163093425,0.6315148870150248,0.11744701885729364,0.09397718755039174,7.831300417582194,0.3813279934066069,0.3051259427719545,8.694466431935629,0.4162340628478024,0.33305661539726916,8.195347547531128,0.44383021502349607,0.35513813601752,2.535065452257792,0.29715419349514144,0.23777287533717656,0.12964694698651633,0.014152558177242886,0.011324405055837558
