timestamp,label,tick,camera_ms,ui_ms,preprocess_ms,infer_ms,command_ms,total_ms,infer_fps,loop_fps,camera_status
1970-01-01T08:37:51.054,navigate,20,0.7958320002217079,0.19879000001310487,2.4748900000304275,145.63684199993077,0.6335869998110866,149.75098200011416,6.866394425117206,6.677752537203647,"camera_fps=22.1, frame_age=0.011s, frames=233"
1970-01-01T08:37:52.141,navigate,25,0.7733999996162311,0.18653300003279583,2.012093000303139,150.6593620001695,0.6268990000535268,154.26619099980599,6.63748994236996,6.482301750752747,"camera_fps=23.1, frame_age=0.022s, frames=259"
1970-01-01T08:37:53.263,navigate,30,0.823447999664495,0.21034300016253837,2.222979000180203,149.3300420002015,0.6492039997283428,153.24347199975819,6.696576165154033,6.525563451091593,"camera_fps=25.0, frame_age=0.023s, frames=287"
1970-01-01T08:37:54.052,navigate,35,0.8255610000560409,0.23210300014397944,2.5552130000505713,148.20188000021517,0.5609449999610661,152.39330300028087,6.747552730090524,6.561968146317801,"camera_fps=25.0, frame_age=0.012s, frames=307"
1970-01-01T08:37:54.785,navigate,40,0.8611459998064674,0.1724529997773061,2.3114610003176495,153.9725500001623,0.5566250001720618,157.92994899993573,6.494664146297154,6.331921249467427,"camera_fps=25.0, frame_age=0.026s, frames=325"
1970-01-01T08:37:55.465,navigate,45,0.6280509996940964,0.16957300022113486,1.9232260001444956,129.820846000257,0.5539359999602311,133.1012959999498,7.702923149938649,7.513074853909591,"camera_fps=25.0, frame_age=0.025s, frames=342"
1970-01-01T08:37:56.142,navigate,50,0.6367870000758558,0.1858939999692666,1.9958999996561033,126.5846840001359,0.5807529996673111,129.98996999976953,7.899849874404445,7.692901229239248,"camera_fps=25.0, frame_age=0.023s, frames=359"
1970-01-01T08:37:56.815,navigate,55,1.3993379998282762,0.2374470000177098,2.298246000009385,125.49009100030162,0.5517599997801881,129.98574599987478,7.968756672569442,7.693151216756977,"camera_fps=24.9, frame_age=0.016s, frames=376"
1970-01-01T08:37:57.478,navigate,60,0.6784199999856355,0.21802300034323707,1.99004399974001,129.61706299984144,0.5853620000380033,133.09518400001252,7.715033629493853,7.5134198694966,"camera_fps=25.1, frame_age=0.037s, frames=392"
1970-01-01T08:37:58.174,navigate,65,0.7079890001477906,0.19543000007615774,1.9587789997785876,128.64151399980983,0.5702250000467757,132.07976100011365,7.773540351845348,7.571182688611463,"camera_fps=25.1, frame_age=0.011s, frames=405"
1970-01-01T08:37:58.881,navigate,70,0.6440520000978722,0.17888499996843166,1.9509069998093764,134.6858560000328,0.5856180000591849,138.05146200002127,7.424684593456914,7.243675550497581,"camera_fps=19.2, frame_age=0.040s, frames=421"
1970-01-01T08:37:59.609,navigate,75,0.797528000020975,0.17901399996844702,1.8828729998858762,138.48958700009462,0.5478879998008779,141.90252199978204,7.220759492909144,7.047091101041432,"camera_fps=24.0, frame_age=0.009s, frames=439"
1970-01-01T08:38:00.318,navigate,80,0.7537819997196493,0.21927100033281022,1.9015929997294734,137.45541099979164,0.6207230003383302,140.95622100012406,7.275086464231778,7.0944013176908305,"camera_fps=24.0, frame_age=0.037s, frames=455"
1970-01-01T08:38:01.022,navigate,85,0.7825189995855908,0.1933820003614528,1.9284099998913007,134.0889429998242,0.5674089998137788,137.5664549996145,7.457736466766772,7.269213995539845,"camera_fps=24.0, frame_age=0.023s, frames=469"
1970-01-01T08:38:01.749,navigate,90,0.6434759998228401,0.19178100001226994,1.9212739998692996,138.8029079998887,0.5431839999801014,142.1080959999017,7.20446001031046,7.036896757808167,"camera_fps=18.2, frame_age=0.030s, frames=483"
1970-01-01T08:38:02.449,navigate,95,0.7381339996754832,0.18890199999077595,1.9673230003718345,133.6360010000135,0.5659049998030241,137.10151299983409,7.483013503224322,7.2938655316021945,"camera_fps=19.5, frame_age=0.009s, frames=496"
1970-01-01T08:38:03.152,navigate,100,1.215939999838156,0.19824600030915462,1.942491000136215,136.84131299987712,0.5462889998852916,140.74949499990907,7.307734616671634,7.104821228670454,"camera_fps=19.5, frame_age=0.033s, frames=510"
