dataset_name,suite_name,config_name,num_cases,latency_ms_mean,latency_ms_std,latency_ms_ci95,latency_std_ms_mean,latency_std_ms_std,latency_std_ms_ci95,mse_vs_baseline_mean,mse_vs_baseline_std,mse_vs_baseline_ci95,diversity_mean,diversity_std,diversity_ci95,path_length_mean_mean,path_length_mean_std,path_length_mean_ci95,endpoint_norm_mean_mean,endpoint_norm_mean_std,endpoint_norm_mean_ci95,forward_progress_mean_mean,forward_progress_mean_std,forward_progress_mean_ci95,lateral_abs_mean_mean,lateral_abs_mean_std,lateral_abs_mean_ci95,smoothness_mean_mean,smoothness_mean_std,smoothness_mean_ci95
go_stanford,long,ddim_1,8,4.651117078118716,0.41155388646822866,0.28519229306645566,0.380474334088175,0.11222360673087127,0.07776699186203911,1.9714334681630135,2.5465522326469556,1.7646706653033968,4.6270923018455505,0.15597222097311858,0.1080832348242824,21.50001859664917,0.6705410956828537,0.4646612727051714,12.218253254890442,1.1916033208549792,0.8257389728877458,9.449268877506256,1.6111002674729673,1.1164355258155638,5.620800793170929,0.36126262641084544,0.2503422278658837,3.8911369144916534,0.11036050351455608,0.07647592720209832
go_stanford,long,ddim_10,8,39.282636624996314,1.3184240886885534,0.9136212813195428,3.5810223082900876,2.0060068477479343,1.3900918242462301,0.006863864378829021,0.007809625151036166,0.005411794124766234,0.2966332845389843,0.09535001884132188,0.0660741920107845,7.143124103546143,2.4626161178911863,1.7065059052917453,7.933916926383972,2.856939190241789,1.9797578533604214,7.5182925760746,3.2267090586255813,2.2359952991448053,1.6474439725279808,1.1610123648822737,0.8045405219246922,0.12091390509158373,0.06474298502130468,0.04486459966796713
go_stanford,long,ddim_2,8,8.471562062503324,0.7903571891805964,0.547689589468556,0.4435902285039223,0.2733455923955776,0.18941883155055955,0.009232113632606342,0.005009467869227201,0.0034713841264573447,0.34963247925043106,0.08522896696376567,0.059060660883730874,7.1707271337509155,2.44775895658855,1.6962104177755941,7.981140434741974,2.845006434416834,1.971488875449594,7.615300640463829,3.1391478043094176,2.1753184455825694,1.5738290846347809,1.1492229595780419,0.7963708808566488,0.1298861149698496,0.061072452117468666,0.04232105013523376
go_stanford,long,ddim_3,8,12.11222818750457,1.1219758383623633,0.7774895891608189,0.6474261884894839,0.3889304406042694,0.26951504492192757,0.00840069999685511,0.009165446132049148,0.006351330130320526,0.29183509945869446,0.07986459555894998,0.05534334115452546,7.135314643383026,2.484752795831505,1.7218458404745962,7.962838143110275,2.8557378401513236,1.9789253602207852,7.6055824011564255,3.140787868166583,2.17645495185205,1.5703827776014805,1.1291342886274227,0.782450142111525,0.11811871873214841,0.059522478340107966,0.04124697310597334
go_stanford,long,ddim_5,8,19.46794429689902,1.354128425087621,0.9383631241373783,0.9228123560557548,0.6544293249614512,0.4534963852178253,0.004370442865820223,0.006209640056842043,0.004303061021062214,0.2592067364603281,0.0888338357390634,0.06155870749690553,7.12826544046402,2.520400366046925,1.7465483463341005,7.925241678953171,2.9463899887102682,2.041744094216442,7.539396733045578,3.2717297909415066,2.267193074957089,1.5949812456965446,1.2109658754363497,0.8391565386604158,0.115066425409168,0.0665729136334302,0.04613267550007395
go_stanford,long,ddpm_10,8,40.78754962500142,2.088922892112119,1.4475497115405282,3.2061816173800635,1.7424677190671767,1.2074685253480355,0.0,0.0,0.0,0.2367084389552474,0.07638200268342676,0.05293002741689892,7.168981611728668,2.553391091354044,1.7694097526034083,7.973310500383377,2.959410418705445,2.050766791873125,7.568759053945541,3.2997539413019625,2.286612820378821,1.630587324500084,1.2667105311603148,0.8777856142561946,0.11405340675264597,0.06850229358151366,0.04746966759195362
go_stanford,medium,ddim_1,8,4.299275062471963,0.20523911834442227,0.14222345289916755,0.3214168126512243,0.07482241712080243,0.05184928976027007,4.034726165235043,4.203550432727973,2.912911835720764,4.740900158882141,0.21562386255615548,0.14941971349111174,21.651102542877197,0.7252067436452234,0.5025426340698765,12.233657598495483,1.1668551261661468,0.8085893489268795,9.17067950963974,1.4476995229132668,1.0032045867770505,5.708603620529175,0.48964895130713904,0.3393094119927564,3.906815081834793,0.17902588650651122,0.12405860998955355
go_stanford,medium,ddim_10,8,37.34157871875965,1.3869214862630719,0.9610875561517443,2.76598261889892,1.1699538053045173,0.8107366240177134,0.0063474252783635166,0.007890433411934716,0.005467791392638346,0.3286416567862034,0.09879291750213814,0.06845999906098572,7.225144743919373,2.4820948566221004,1.7200039825724238,7.541619032621384,2.857682324120896,1.9802728188655625,6.129710860550404,3.8100313655822347,2.640217034833907,2.9554844237864017,2.255680350418223,1.5631067345305734,0.1877614320255816,0.10760024103424676,0.07456316289077043
go_stanford,medium,ddim_2,8,8.242075234392132,0.7534214791053051,0.5220944482276207,0.678484125182525,0.6371238063173049,0.44150427262430375,0.033049568211936275,0.04537821516756273,0.03144549878986333,0.385361660271883,0.12035989684556955,0.08340515325756725,7.180991441011429,2.4270020888514376,1.6818266422811516,7.544490337371826,2.823356684812506,1.9564863643885069,6.2963321059942245,3.5770468811805203,2.4787670241788375,2.87171171605587,2.148572874488611,1.488885040435882,0.19302532728761435,0.09968544554016563,0.06907848943651232
go_stanford,medium,ddim_3,8,11.391515796887575,0.5067441917225065,0.35115580920800266,0.5685772782247271,0.1927017941168033,0.13353553045946945,0.021264894778141752,0.028875978461709684,0.020010032179998177,0.3325280174612999,0.10214654763257491,0.07078394617567263,7.170229613780975,2.5167724328136147,1.744034316866954,7.536251991987228,2.8692318791170615,1.9882762521498885,6.259372618049383,3.656767858660657,2.5340108430822816,2.894859090447426,2.1705382678225065,1.5041062814421526,0.1832889374345541,0.10639759688574883,0.07372977301466838
go_stanford,medium,ddim_5,8,19.291839499992136,0.8705640975514304,0.6032701412994402,1.4924194250390206,0.908119932478037,0.6292950071381718,0.005251639042398892,0.0050183369183845776,0.0034775300639631654,0.27915746718645096,0.07854773064910169,0.05443080032901833,7.251162171363831,2.4784467867097373,1.7174759990986146,7.578156769275665,2.8323269953244647,1.9627024724330147,6.134911149740219,3.8507224763739263,2.668414536001229,2.9873335771262646,2.254580637290412,1.5623446722127394,0.18472883477807045,0.11065851374411317,0.07668243775519744
go_stanford,medium,ddpm_10,8,39.02964309373402,0.8850494940038315,0.6133080089179151,2.642781044792094,1.0953187420561272,0.7590171638672343,0.0,0.0,0.0,0.25827596709132195,0.09318152428891337,0.06457150195186982,7.256332844495773,2.43897465355949,1.6901232063405454,7.561803191900253,2.796301742324755,1.9377382457567605,6.054636001586914,3.906834116212881,2.7072979186141786,3.025284819304943,2.257868750482601,1.5646232184055353,0.18646701518446207,0.11250816582455493,0.0779641812535353
go_stanford,short,ddim_1,8,4.577260249973847,0.3574919079063825,0.24772925325392142,0.5104317479254087,0.33198184516954643,0.23005168167120457,4.5441956371068954,5.365518751948318,3.718114800204512,4.839034199714661,0.23668650103361316,0.16401537729826096,21.773227214813232,0.5359673462101197,0.37140642209973895,12.248320817947388,0.8085822412969833,0.5603189062487518,9.216852247714996,1.2397150002184303,0.8590786657252715,5.778133749961853,0.5273054111294248,0.36540400732665707,3.9746773838996887,0.08052097721425287,0.055798190435646364
go_stanford,short,ddim_10,8,37.45377676560224,1.0475251417127474,0.7258978885451132,2.6619779436667175,1.0915393516678336,0.7563981799463668,0.005313780848155147,0.005696491882442581,0.003947467478268285,0.3271377105265856,0.10154933093510628,0.07037009611858708,6.820329278707504,2.3884670141711717,1.6551231979136047,7.247091889381409,2.8031966535160224,1.9425161754466038,5.757902771234512,4.148038550761981,2.874444064109675,2.6468268167227507,2.0307895243833043,1.4072653429769573,0.1521354801952839,0.09762102220079574,0.06764791704885427
go_stanford,short,ddim_2,8,8.0627260156092,0.5452656561460901,0.3778498221488519,0.5587470410101087,0.3970587974941707,0.27514770887314616,0.02069572272739606,0.022424571685703047,0.015539435370081183,0.3967045322060585,0.09060874838195342,0.06278865920739078,6.8238111436367035,2.2816048191236287,1.5810714747984194,7.2770014107227325,2.742027570612391,1.9001281635928864,6.0298081189394,3.8548896570194957,2.671302244860282,2.5049247201532125,1.8948607206652255,1.3130714876866811,0.1617950163781643,0.08244633852619332,0.057132397754755544
