config_name,scheduler,num_steps,guidance_scale,num_cases,latency_ms_mean,latency_ms_std,latency_ms_ci95,diversity_mean,diversity_std,diversity_ci95,path_length_mean_mean,path_length_mean_std,path_length_mean_ci95,endpoint_norm_mean_mean,endpoint_norm_mean_std,endpoint_norm_mean_ci95,forward_progress_mean_mean,forward_progress_mean_std,forward_progress_mean_ci95,lateral_abs_mean_mean,lateral_abs_mean_std,lateral_abs_mean_ci95,smoothness_mean_mean,smoothness_mean_std,smoothness_mean_ci95,composite_score
ddim2_w0.0,ddim,2,0.0,24,6.177605661475146,0.11552142184259138,0.046218194519608846,0.38970090448856354,0.15390992477648768,0.061576794401914395,7.827319115400314,1.6702949466456287,0.6682571554077371,8.674884835879007,2.041563643137076,0.8167955698402097,8.088916790982088,2.26707071032191,0.9070171870126232,2.311768832306067,1.6886827985652149,0.6756138283369814,0.12366901167357962,0.058639545850705535,0.02346070446018529,5.6477
ddim3_w0.0,ddim,3,0.0,24,9.118107171881698,0.21331142970516034,0.08534234598326351,0.3207520532111327,0.1436647705211895,0.05747787902585562,7.8270473182201385,1.6887391098806925,0.6756363575552933,8.68063497543335,2.0744790694874258,0.8299644830468808,8.076137681802114,2.3177212861300824,0.927281637777626,2.3420341052114964,1.7594728401736055,0.7039357435361028,0.1074690589060386,0.05846702437286691,0.023391681493757293,5.3648
ddim2_w0.5,ddim,2,0.5,24,11.39448860935488,0.1246417154667031,0.04986707191456949,0.38198865577578545,0.14786022406426294,0.05915641002780231,7.874564220507939,1.6515043437120178,0.6607393485137939,8.715990751981735,2.0275064787390464,0.81117153277263,8.105710797011852,2.2776829699291135,0.9112629751183706,2.3650793991982937,1.7322811389625232,0.6930567973125589,0.12456202662239473,0.06012546039565155,0.0240551940914799,4.9877
ddim2_w1.0,ddim,2,1.0,24,11.44263317708294,0.2512948598401253,0.10053888299344547,0.37596482659379643,0.14736808632738768,0.058959513925845274,7.924229611953099,1.6336558088121764,0.6535984473308519,8.758158644040426,2.014558421478149,0.8059912309758721,8.121875959138075,2.29085779947868,0.9165340047263187,2.421756647527218,1.7688118245910476,0.7076721154707303,0.12594352445254722,0.06183036177715276,0.024737296704399097,4.9853
ddim5_w0.0,ddim,5,0.0,24,14.938592541665704,0.6168624848624167,0.24679639379844476,0.29056312640508014,0.13392407698684528,0.05358078997219376,7.83197695016861,1.708410462352239,0.6835065376525619,8.67431952059269,2.1088724534170606,0.8437247024355707,8.03171561906735,2.385802477739582,0.9545197872632004,2.3964472276469073,1.8385755691394665,0.735583426330015,0.10434880976875623,0.061068972942837904,0.024432677728211533,4.9851
ddim2_w2.0,ddim,2,2.0,24,11.616058161450837,0.2987560728580013,0.11952732288977684,0.36714737117290497,0.15340370239148024,0.061374263267106044,8.02871267000834,1.600476140761068,0.6403238154260289,8.844495038191477,1.9913942189287392,0.7967236198069321,8.151767099897066,2.325672529568769,0.9304627976877136,2.5419985527793565,1.835360235394761,0.734297024915559,0.12995118368417025,0.06589005706493162,0.02636151309221822,4.963
ddim3_w1.0,ddim,3,1.0,24,17.07891039582658,0.3318149394245459,0.1327536241350323,0.3070496488362551,0.13834900955494972,0.05535113170541334,7.923612892627716,1.649535144413922,0.6599515047117042,8.762655834356943,2.0460232276763444,0.8185797752492583,8.108592197299004,2.340718466373331,0.9364824261070255,2.4520895245174565,1.8241604882727398,0.7298161928516903,0.10959954264884193,0.06185327152606263,0.02474646251290996,4.9116
ddim3_w2.0,ddim,3,2.0,24,16.732069890603423,0.3149234945094279,0.1259956386951721,0.2987225043276946,0.14552962732631922,0.05822397713645665,8.026450415452322,1.6137314340274944,0.6456270372253323,8.8466015458107,2.0220692714624997,0.808996196808593,8.137951622406641,2.3737298704620864,0.9496897384063707,2.571127853045861,1.878387941085794,0.7515116924606867,0.11352624682088693,0.06600380271484943,0.026407020830002337,4.9029
ddim3_w0.5,ddim,3,0.5,24,17.593020734357385,0.4831441744829891,0.19329792761464956,0.3129736855626106,0.1380868366682509,0.05524624070526858,7.874431073665619,1.6686848113180635,0.667612967112741,8.721362700064978,2.0596653623284897,0.8240377658362742,8.09270060310761,2.3280316489081136,0.9314066419962556,2.395621823767821,1.7951621168197411,0.7182144279912059,0.10827156389132142,0.06006968433666816,0.024032879020365692,4.8961
ddim5_w0.5,ddim,5,0.5,24,28.43720223955633,0.7430411006273857,0.29727835389400714,0.28397199138998985,0.132112970121955,0.05285619631638372,7.878687173128128,1.6871389493657813,0.6749961600165066,8.714543382326761,2.0926231519161598,0.8372236278677755,8.048877542217573,2.394402944325411,0.9579606905284397,2.4478314282993474,1.8652462084411108,0.7462539043724802,0.10509170374522607,0.06269159481757848,0.025081861682514996,4.6708
