config_id,case_index,dataset,suite,trajectory,obs_time,goal_time,candidate_k,status,action_ade_m,action_fde_m,progress_error_m,heading_error_rad,minade_k_m,candidate_diversity_m,sampling_seed,sampler_latency_ms,error
ddpm10_cfg0_standard_k8,0,go_stanford,short,sim9h_0_8,12,20,8,valid,0.8053660665644309,1.430091008521267,1.404412865638733,0.2646630368396785,0.7823182925752709,0.038534903274133524,11000,41.16335299931961,
ddpm10_cfg0_standard_k8,1,go_stanford,short,no16vc_29_1,97,105,8,valid,0.7901059977628365,1.4303130918006843,1.3510569334030151,0.3131342751466457,0.7466022558031794,0.09254410897531329,11001,39.806781000152114,
ddpm10_cfg0_standard_k8,2,go_stanford,short,sim22hF_0_7,93,101,8,valid,0.7255818536273211,1.33399239963507,1.1717833876609802,1.2248369383048603,0.6663002700209704,0.09371585091417108,11002,41.15603700029169,
ddpm10_cfg0_standard_k8,3,go_stanford,short,no1vcF_18_0,15,23,8,valid,0.38456617571706203,0.6713702271587966,0.5361045598983765,0.12070794933526319,0.31114526455581054,0.08593405267849777,11003,37.5041510005758,
ddpm10_cfg0_standard_k8,4,go_stanford,short,no28vc_17_0,16,24,8,valid,0.30244698813927406,0.43171464294885176,0.031103795394301414,0.32729807035782343,0.17198998044341945,0.15262955005461726,11004,41.43147000013414,
ddpm10_cfg0_standard_k8,5,go_stanford,medium,sim9h_0_8,10,26,8,valid,0.8308331548193382,1.4776857512902903,1.4734275341033936,0.1966071529973501,0.8155416593295093,0.06163007998043542,11005,37.652673000593495,
ddpm10_cfg0_standard_k8,6,go_stanford,medium,no16vc_29_1,93,109,8,valid,0.6598097179064455,1.1530475825071431,1.0303308963775635,0.06395495355337433,0.5765536668579575,0.09927390063980131,11006,41.9021719999364,
ddpm10_cfg0_standard_k8,7,go_stanford,medium,sim22hF_0_7,87,103,8,valid,0.6501682682039008,1.0623296801251643,1.0476948022842407,0.15226518033368297,0.5725416627390933,0.2511881758111515,11007,37.44128299967997,
ddpm10_cfg0_standard_k8,8,go_stanford,medium,no1vcF_18_0,13,29,8,valid,0.4054365104091256,0.6587651158414732,0.648280531167984,0.2702030416391943,0.3399480545139271,0.07264154078803899,11008,40.30666699964058,
ddpm10_cfg0_standard_k8,9,go_stanford,medium,no28vc_17_0,12,28,8,valid,0.24908841289429276,0.461910853985207,0.24369844421744347,0.5490750899281065,0.21683327711131875,0.1459041442721951,11009,38.00781899917638,
ddpm10_cfg0_standard_k8,10,go_stanford,long,sim9h_0_8,8,32,8,valid,0.7692930493478598,1.380542602073936,1.3693264722824097,0.3957725153892069,0.6240044304667327,0.10939584495720885,11010,42.14930599937361,
