dataset_name,suite_name,model_name,num_cases,latency_ms_mean,latency_ms_std,latency_ms_ci95,dist_pred_mean_mean,dist_pred_mean_std,dist_pred_mean_ci95,diversity_mean,diversity_std,diversity_ci95,path_length_mean_mean,path_length_mean_std,path_length_mean_ci95,endpoint_norm_mean_mean,endpoint_norm_mean_std,endpoint_norm_mean_ci95,forward_progress_mean_mean,forward_progress_mean_std,forward_progress_mean_ci95,lateral_abs_mean_mean,lateral_abs_mean_std,lateral_abs_mean_ci95,smoothness_mean_mean,smoothness_mean_std,smoothness_mean_ci95
go_stanford,long,convnext_tiny,8,37.543884875049116,1.5091551905301663,1.0457911917050216,11.655216932296753,4.105920611331925,2.84525782114069,0.3301799055188894,0.23161881870972564,0.16050365261286328,7.360791504383087,1.3262616346535987,0.9190524235812926,8.128397941589355,1.6086431905681855,1.114732858389121,7.487831711769104,1.8511578667913693,1.2827869550419007,2.4400791861116886,1.6961893328368933,1.175399239836748,0.1126037435606122,0.07713868613891774,0.05345438229943647
go_stanford,long,dinov2_small,8,37.22153275003848,1.346669060144825,0.93319404795367,11.910923719406128,2.6376051268702176,1.8277671018762882,0.348375940695405,0.15719769785366472,0.1089324469764555,7.50883549451828,1.0689770071097786,0.740763272846628,8.372587203979492,1.1708848183119545,0.8113817831164263,7.9516761302948,1.2643446873600692,0.8761461681457003,1.948342140763998,1.541430732846118,1.0681570014463428,0.11738953413441777,0.08875752279220077,0.061505825322731016
go_stanford,long,efficientnet_b0,8,34.802540218720424,1.8080300477789144,1.2529009012260375,5.649858713150024,1.227429890486235,0.8505655190140007,0.5796693973243237,0.07236878156976284,0.0501490070703036,6.648110449314117,0.2903991462243417,0.20123634143509547,7.5460174679756165,0.33412439809841965,0.23153639510216076,7.374859690666199,0.3452165694793369,0.2392228777116601,1.2266715914011002,0.2357347905008541,0.16335587554624917,0.07074917620047927,0.008200530115017118,0.00568267744458004
go_stanford,long,resnet50,8,34.207067218659404,0.40437308274717093,0.2802162499610368,10.588005423545837,0.06602941520072315,0.04575605030128917,0.9855442196130753,0.11162752139616847,0.07735392579935159,7.7158092856407166,0.3037576696012021,0.21049332585218414,8.627806782722473,0.3272546840711091,0.2267759261561076,8.12000173330307,0.3830420740251157,0.2654346150624604,2.0479907542467117,0.3820786384010269,0.26476698823669115,0.09490106301382184,0.01612916362877617,0.01117694015723955
go_stanford,medium,convnext_tiny,8,37.475855093731525,0.9384741924142034,0.6503294361161589,10.813153624534607,2.6560424793083595,1.8405435352737018,0.31570034101605415,0.19626308829421885,0.13600338141686713,7.028835088014603,1.6058593294394798,1.1128037410487712,7.85147088766098,1.6368094959554833,1.1342511122186438,7.539024770259857,1.5768358022800992,1.0926914628377884,1.7101238742470741,1.3254150241077456,0.9184657524044558,0.11772833811119199,0.08626747367007433,0.05978030931538266
go_stanford,medium,dinov2_small,8,33.822216593875964,1.142628866416203,0.7918014074259468,11.06442403793335,2.8051443346028373,1.943865849580598,0.34307559952139854,0.14078256773605308,0.09755734215263723,6.6506893038749695,2.3079352649821616,1.5993175428802886,7.449520528316498,2.4575782074532624,1.7030148114707517,6.816842436790466,2.401924898627067,1.6644490360456095,2.3836627788841724,1.804361146796984,1.2503584825574892,0.11653914046473801,0.06110444476466931,0.042343219908661765
go_stanford,medium,efficientnet_b0,8,34.41162296869038,0.5007610494462111,0.34700970314115775,5.853073060512543,1.2641712871674882,0.8760260079427079,0.5849438980221748,0.0501721025776818,0.03476749327988454,6.634677350521088,0.29759617124639764,0.2062236253286112,7.543186783790588,0.33155422973969767,0.22975535929642224,7.388180077075958,0.3408737414298295,0.236213451411593,1.2002394869923592,0.15628748509003806,0.1083017017113222,0.0713640721514821,0.009816524624855558,0.0068025045073216925
go_stanford,medium,resnet50,8,35.71741334388889,1.636039394485255,1.1337174591262795,10.605148911476135,0.1557357679785049,0.10791938125867767,0.9554954767227173,0.1309134414510776,0.09071838655455453,7.65282130241394,0.24741495754855045,0.17144981836457057,8.563289523124695,0.3735972322267348,0.25888967361324855,8.11020439863205,0.5328556426693418,0.3692501215585072,2.012577787041664,0.4688053209269581,0.324865513054112,0.09753993339836597,0.023069515542775972,0.015986358661405638
go_stanford,short,convnext_tiny,8,36.28017624990321,1.2939035667713876,0.8966294265401986,9.330819368362427,2.1330175528141564,1.478105752465128,0.25923903193324804,0.11080329811736175,0.07678276820708868,6.875221222639084,2.217917269149953,1.5369382543041472,7.151949018239975,2.7470087557144636,1.9035799487616267,6.013799637556076,3.002689655530755,2.080757772880005,3.021136686205864,2.1751640198268283,1.5073117640402893,0.16628501494415104,0.08971953524202182,0.06217246593904827
go_stanford,short,dinov2_small,8,36.60704693760408,0.5137695028608291,0.35602410145093893,10.676348268985748,2.591180636745975,1.795596571531908,0.2630669381469488,0.10084437097171743,0.06988158378742135,6.780063785612583,2.686512306048634,1.8616580479611364,7.41446153819561,2.9091783430200273,2.0159577393498953,6.523727476596832,2.7108918825551234,1.8785522325539274,2.7390877157449722,2.49864865652244,1.7314751806530804,0.11339444085024297,0.07994354459713,0.055398050046785406
