dataset_name,suite_name,guidance_scale,num_cases,latency_ms_mean,latency_ms_std,latency_ms_ci95,latency_std_ms_mean,latency_std_ms_std,latency_std_ms_ci95,shift_vs_w0_mean,shift_vs_w0_std,shift_vs_w0_ci95,diversity_mean,diversity_std,diversity_ci95,path_length_mean_mean,path_length_mean_std,path_length_mean_ci95,endpoint_norm_mean_mean,endpoint_norm_mean_std,endpoint_norm_mean_ci95,forward_progress_mean_mean,forward_progress_mean_std,forward_progress_mean_ci95,lateral_abs_mean_mean,lateral_abs_mean_std,lateral_abs_mean_ci95,smoothness_mean_mean,smoothness_mean_std,smoothness_mean_ci95
go_stanford,long,-1.0,8,28.68952609374631,0.5031547501981148,0.34866845313428413,0.736168203863661,0.26450415675403455,0.18329202923495122,0.05354998688562773,0.08485896690854636,0.0588042639266076,0.32669316977262497,0.18162980331905804,0.1258630322806351,7.97270131111145,1.2006239022797265,0.8319899168975163,8.838779509067535,1.2469161807252176,0.8640688292227913,8.218292713165283,1.1039016594432995,0.7649648221723311,2.837248846888542,1.4870162046404174,1.0304496571948114,0.1177737582474947,0.05585043787079981,0.03870237888366689
go_stanford,long,0.0,8,28.53932225001543,0.27613398136902806,0.1913510865272379,0.6907224157861827,0.2724640256793512,0.18880793698350976,0.0,0.0,0.0,0.34516310784965754,0.19720901704804072,0.13665887660048698,8.016892313957214,1.1383854301911494,0.7888608561462843,8.874110579490662,1.2213523134789768,0.8463539730172852,8.248371183872223,1.1530290997945425,0.7990084014627385,2.904211074113846,1.2643601489536693,0.8761568824834294,0.11734976805746555,0.054792003755719895,0.03796892146225895
go_stanford,long,0.5,8,54.4961806250015,1.396558620174572,0.9677657492369685,1.4477860245018024,1.4815469710360945,1.0266596716686915,0.03675424627817847,0.05832650327857309,0.04041820467135485,0.34703779593110085,0.19872433347653617,0.13770893731227485,8.01701307296753,1.1272243097744963,0.7811265942926743,8.860857009887695,1.2474169500760575,0.8644158446785046,8.214439332485199,1.2918468138006935,0.8952041694468514,2.932359606027603,1.2272446530969225,0.8504371560521706,0.11866022367030382,0.055318957052804416,0.038334081467001284
go_stanford,long,1.0,8,53.80252206250091,0.7992351641815812,0.5538417122684289,0.7922361596323546,0.17370216237393102,0.12036945738294591,0.09966784243442817,0.15360206415646127,0.10644079994589918,0.3286917321383953,0.16470769150791642,0.11413660706725302,8.152054727077484,1.015542290476211,0.7037349033738984,8.99667227268219,1.126848119154447,0.7808659074929879,8.297720849514008,1.289317030215641,0.8934511188614848,3.0508828461170197,1.3305646470293708,0.922034259027122,0.11741114920005202,0.05893840800279208,0.04084223301169148
go_stanford,long,2.0,8,53.61241631249669,0.6533482193640857,0.45274721726073097,0.8524064170125955,0.22365388484964704,0.15498423504358264,0.31372377602383494,0.4981883444078195,0.345226909506091,0.36950089037418365,0.19502438841900602,0.13514500619688158,8.244725048542023,0.9336251139731722,0.6469691961929634,9.054927110671997,1.045695998026171,0.7246303566386613,8.257133722305298,1.4207931884551057,0.9845594482558563,3.124553769826889,1.5893267679226721,1.1013472604170313,0.12436799705028534,0.06073496939829249,0.04208718654235626
go_stanford,long,4.0,8,53.405309109368915,0.5663476790331636,0.39245891866654004,0.7676786051245281,0.22941811052833885,0.1589786396479614,1.0415679584257305,1.6355040502655238,1.1333464845087995,0.35730524733662605,0.20043995098432885,0.13889779959048373,8.501490652561188,0.7990578841966285,0.5537188635064907,9.295010685920715,0.925791733925935,0.6415409407649708,8.19111943244934,2.0280056886798064,1.4053362432553775,3.314334876835346,2.2710178548358395,1.5737350828431456,0.12731497921049595,0.06450023199152367,0.04469638040072564
go_stanford,medium,-1.0,8,28.301354375013688,0.8937630423511409,0.6193461898600029,0.6229023570584196,0.21617564207066037,0.14980207718680943,0.010883867646043655,0.010347447583139492,0.0071704153469300804,0.2398856682702899,0.07600823794041195,0.052671021664231786,8.28256642818451,1.4473649115693552,1.0029727129457155,9.302645444869995,1.5536604840157668,1.0766317866309398,8.81417977809906,1.3670978636694868,0.9473504865474096,2.434709880501032,1.8439409456248839,1.2777858838237124,0.08122237678617239,0.04938687782990643,0.03422336029085523
go_stanford,medium,0.0,8,28.3954969218847,0.8666742027089279,0.6005745816986289,0.7489740085069746,0.2807128796109186,0.19452410112449778,0.0,0.0,0.0,0.2644339017570019,0.09307148336976441,0.06449524748533436,8.230006515979767,1.4378100695374725,0.9963515452236832,9.254193305969238,1.5408445462070866,1.0677507948297926,8.792313814163208,1.3471685835274743,0.9335401999974777,2.3581095412373543,1.7774822768382517,1.2317323759634071,0.08739104028791189,0.04185094617233637,0.02900122608078158
go_stanford,medium,0.5,8,53.399346937489156,1.3536269409689787,0.9380156133728479,0.8763821916305637,0.2786643357248438,0.1931045326365641,0.00500178702895937,0.007513464185856206,0.005206565046500762,0.2660473193973303,0.09858175761656131,0.06831367272571989,8.22092068195343,1.45357256280059,1.0072743957809458,9.251062572002411,1.56137467862843,1.0819774507665065,8.810967445373535,1.3693242024607315,0.9488932606187872,2.2898399382829666,1.7570711157609389,1.2175881629619416,0.0901321591809392,0.03747536058915332,0.025969099968001376
go_stanford,medium,1.0,8,53.37178876561666,0.8631719789888352,0.5981476644797531,0.915675301819739,0.555969524450743,0.38526722445473677,0.02235586362075992,0.024701792186215692,0.01711746866708731,0.271527087315917,0.09538547422861603,0.06609876134067408,8.243265450000763,1.4147968250033787,0.9804041803818644,9.272787988185883,1.5219374127867809,1.0546488198205817,8.842778086662292,1.3479948516416216,0.9341127745883377,2.2387655451893806,1.7585674098943194,1.2186250418957374,0.09628922585397959,0.033260925167521646,0.023048645219803002
go_stanford,medium,2.0,8,53.28309431249778,0.9562603580980386,0.6626546201151793,0.8793446305354766,0.2672120129152384,0.18516847781993492,0.0528104136174079,0.0639615606133983,0.044323100180108155,0.2995191961526871,0.1388967058839061,0.09625050656268376,8.18651807308197,1.4294606776419712,0.9905657118281521,9.188609838485718,1.5396139870327776,1.0668980608277234,8.757932007312775,1.355152310820541,0.939072640751388,2.256548136472702,1.7124032176642556,1.1866348887893374,0.1102875005453825,0.02679410635592082,0.01856736841410308
go_stanford,medium,4.0,8,53.35956929688024,1.291830303071683,0.8951927280953745,0.9034977547337051,0.34894654160958616,0.24180761652685745,0.28194953268393874,0.3187059061882598,0.2208519253205237,0.3639492616057396,0.20432556395407575,0.1415903920048587,8.210463225841522,1.412038064752161,0.9784924570621867,9.118540108203888,1.5647053766884944,1.084285506767176,8.627792000770569,1.4675563602198034,1.0169646730031732,2.3965389132499695,1.607653971020717,1.1140473642160256,0.14423168543726206,0.03038607765654686,0.021056477533313214
go_stanford,short,-1.0,8,28.033462703145773,0.7450415839497432,0.5162874771512932,0.8919101195546575,0.49949561134755377,0.34613279927763996,0.01906244996280293,0.03078368008409219,0.021332001958592077,0.28095900639891624,0.15557635712478465,0.10780891517293056,8.47424054145813,1.0459854123877455,0.7248309105591504,9.361523032188416,1.140613438205651,0.7904047869303644,8.466705799102783,1.631658663353377,1.130681767330172,3.3555560559034348,1.8316276687968953,1.2692532183108884,0.13387938356027007,0.04684027324666729,0.03245865334844228
go_stanford,short,0.0,8,29.01599101562269,3.5325540121086734,2.447935038932392,3.5505202038190737,7.5056009705181035,5.20111611627101,0.0,0.0,0.0,0.25400439463555813,0.1049472472793993,0.0727247320137622,8.512018918991089,1.039932810806464,0.7206366716496448,9.411899387836456,1.1264314029325508,0.7805771378839813,8.526962280273438,1.5991162864807864,1.1081310506748856,3.3942947387695312,1.776831973948484,1.2312817390518906,0.13152149319648743,0.04555749351372493,0.031569732345468705
