dataset_name,suite_name,traj_name,guidance_scale,latency_ms,latency_std_ms,shift_vs_w0,diversity,path_length_mean,endpoint_norm_mean,forward_progress_mean,lateral_abs_mean,smoothness_mean
go_stanford,short,no27vc_26_0,0.0,37.686951749975606,22.120591559257857,0.0,0.18844816088676453,9.530659675598145,10.85106086730957,10.693901062011719,1.7378746271133423,0.04916995018720627
go_stanford,short,no27vc_26_0,-1.0,29.682428500024116,1.6734129562974203,0.018136585131287575,0.17618116736412048,9.514342308044434,10.845191955566406,10.735490798950195,1.4346168041229248,0.045417267829179764
go_stanford,short,no27vc_26_0,0.5,55.87531850000005,2.074667309435062,0.013088231906294823,0.19018396735191345,9.559873580932617,10.871076583862305,10.666197776794434,2.0179200172424316,0.05262099206447601
go_stanford,short,no27vc_26_0,1.0,53.62304037501531,0.8827100815807931,0.024014893919229507,0.1934409737586975,9.549460411071777,10.85728645324707,10.641340255737305,2.0796852111816406,0.0549994558095932
go_stanford,short,no27vc_26_0,2.0,52.7679107499921,0.8503358281620412,0.12024172395467758,0.22008171677589417,9.593658447265625,10.886687278747559,10.556737899780273,2.555722236633301,0.06120704859495163
go_stanford,short,no27vc_26_0,4.0,52.106371249976746,1.242924113086241,0.39713650941848755,0.224895179271698,9.678153991699219,10.933392524719238,10.441855430603027,3.15720796585083,0.0770772248506546
go_stanford,short,no15vcF_7_0,0.0,28.106212125010188,0.9592830475330673,0.0,0.13760130107402802,9.419332504272461,10.56059455871582,10.351031303405762,2.0540671348571777,0.12634727358818054
go_stanford,short,no15vcF_7_0,-1.0,27.69615037504991,0.6053105945280981,0.0002503953583072871,0.1378692388534546,9.408903121948242,10.536484718322754,10.31903076171875,2.0891730785369873,0.1293511986732483
go_stanford,short,no15vcF_7_0,0.5,52.121164375051876,0.8083502810128415,0.0005726927192881703,0.11317533254623413,9.440600395202637,10.59667682647705,10.39836311340332,2.01098370552063,0.12455298006534576
go_stanford,short,no15vcF_7_0,1.0,50.928215500050555,0.8700086955270873,0.0005136948311701417,0.12819784879684448,9.459213256835938,10.612975120544434,10.400418281555176,2.0679407119750977,0.12428306043148041
go_stanford,short,no15vcF_7_0,2.0,51.2191623750482,1.0312816330963108,0.0017583775334060192,0.13680121302604675,9.474638938903809,10.648324966430664,10.451096534729004,1.9924335479736328,0.11993366479873657
go_stanford,short,no15vcF_7_0,4.0,52.12522650001006,0.9279871134748139,0.002992806024849415,0.12794438004493713,9.4923734664917,10.683256149291992,10.487935066223145,1.9986612796783447,0.11761384457349777
go_stanford,short,no4vc_116_0,0.0,27.54759337497603,0.7381223555602983,0.0,0.2473030984401703,8.597539901733398,9.445038795471191,8.062320709228516,4.881186485290527,0.11807151138782501
go_stanford,short,no4vc_116_0,-1.0,27.555824625011383,0.20004960343639236,0.003608380677178502,0.26348915696144104,8.613199234008789,9.443535804748535,7.974384307861328,5.015514850616455,0.12216341495513916
go_stanford,short,no4vc_116_0,0.5,52.00966924996919,0.6476000209091797,0.0008621378801763058,0.2365732192993164,8.57756233215332,9.408772468566895,8.020772933959961,4.885236740112305,0.11994672566652298
go_stanford,short,no4vc_116_0,1.0,53.558728750005,1.72976924627579,0.0016307522309944034,0.19695007801055908,8.585607528686523,9.440871238708496,8.11904525756836,4.794946670532227,0.11655977368354797
go_stanford,short,no4vc_116_0,2.0,54.58004012498918,0.6352782233032147,0.006490195635706186,0.18692825734615326,8.509255409240723,9.367910385131836,8.105894088745117,4.675871849060059,0.11200287193059921
go_stanford,short,no4vc_116_0,4.0,53.36180512492206,1.8593474025285042,0.04872913658618927,0.17923322319984436,8.512168884277344,9.401644706726074,8.316520690917969,4.364232063293457,0.10394582152366638
go_stanford,short,sim3h_1_10,0.0,28.280285500045466,1.090951413648857,0.0,0.22096818685531616,6.334994316101074,7.42644739151001,7.379147529602051,0.7255963087081909,0.09548752754926682
go_stanford,short,sim3h_1_10,-1.0,27.794002000007367,0.7371975299962376,0.002170857274904847,0.23565930128097534,6.314460754394531,7.403599739074707,7.34403133392334,0.8128846883773804,0.10240047425031662
go_stanford,short,sim3h_1_10,0.5,52.56010012502088,1.2789432249135229,0.0014482028782367706,0.20102806389331818,6.407569885253906,7.511679649353027,7.476442337036133,0.6645134687423706,0.08984491229057312
go_stanford,short,sim3h_1_10,1.0,52.63555787502128,1.057242873598049,0.003127815667539835,0.20051810145378113,6.438965797424316,7.535077095031738,7.501888275146484,0.6298661231994629,0.08635352551937103
go_stanford,short,sim3h_1_10,2.0,52.15778412500072,0.9932212885648385,0.007375141605734825,0.2115611433982849,6.2430877685546875,7.329546928405762,7.301040172576904,0.5619795322418213,0.08819815516471863
go_stanford,short,sim3h_1_10,4.0,52.70708412498948,0.6597764058880247,0.023566443473100662,0.17900285124778748,6.474861145019531,7.567316055297852,7.551870346069336,0.4267091751098633,0.0706525444984436
go_stanford,short,sim26h_4_6,0.0,27.317759749990955,0.7611178226784798,0.0,0.21814218163490295,8.707258224487305,9.576601028442383,9.023127555847168,3.1600818634033203,0.16246189177036285
go_stanford,short,sim26h_4_6,-1.0,27.81893575001959,0.8276249392906301,0.028816379606723785,0.23634643852710724,8.711296081542969,9.655191421508789,9.230451583862305,2.761725902557373,0.1515635848045349
go_stanford,short,sim26h_4_6,0.5,52.036840874990276,0.9839053207941089,0.00537450797855854,0.21650730073451996,8.659235954284668,9.483770370483398,8.876153945922852,3.2932212352752686,0.16698922216892242
go_stanford,short,sim26h_4_6,1.0,51.864710500098,1.1283740249182148,0.021029941737651825,0.19237031042575836,8.683328628540039,9.50023078918457,8.83187484741211,3.4661364555358887,0.16813203692436218
go_stanford,short,sim26h_4_6,2.0,51.32402187504681,1.063994838104464,0.09154033660888672,0.18502235412597656,8.717144012451172,9.44366455078125,8.621042251586914,3.8318793773651123,0.1786704957485199
go_stanford,short,sim26h_4_6,4.0,52.03801562498711,1.8479262363292108,0.3183508515357971,0.13327552378177643,8.773496627807617,9.387002944946289,8.282373428344727,4.409878253936768,0.19296902418136597
go_stanford,short,sim8hF_0_12,0.0,27.34434962502519,0.83060935641106,0.0,0.3245767652988434,7.835065841674805,8.291787147521973,5.760899543762207,5.910101413726807,0.16237257421016693
go_stanford,short,sim8hF_0_12,-1.0,27.713118249977242,0.5654038312021408,0.007845956832170486,0.3172653615474701,7.846935272216797,8.336079597473145,5.939475059509277,5.797908782958984,0.16263353824615479
go_stanford,short,sim8hF_0_12,0.5,51.604302125070944,0.9823561805254907,0.00013663258869200945,0.3317927122116089,7.835112571716309,8.276108741760254,5.723453998565674,5.924882411956787,0.16599570214748383
go_stanford,short,sim8hF_0_12,1.0,52.088878375030845,0.9326215176653604,0.00929562933743,0.3615339696407318,7.846145153045654,8.278268814086914,5.583849906921387,6.04521369934082,0.16144448518753052
go_stanford,short,sim8hF_0_12,2.0,52.43307199998526,0.5862304399549,0.018220260739326477,0.36544179916381836,7.791162490844727,8.231449127197266,5.523064613342285,6.04733943939209,0.16007646918296814
go_stanford,short,sim8hF_0_12,4.0,51.61773849999918,0.7245340428417849,0.12332841753959656,0.33953410387039185,7.885398864746094,8.204381942749023,5.0486345291137695,6.415225028991699,0.1707039475440979
go_stanford,short,sim2h_0_1,0.0,27.387811750003266,0.6955840206114038,0.0,0.21641510725021362,9.19395637512207,9.899852752685547,8.94210433959961,4.194387435913086,0.19653964042663574
go_stanford,short,sim2h_0_1,-1.0,27.448266250104325,0.9762480656580341,0.000558617408387363,0.2386302798986435,9.179397583007812,9.85850715637207,8.904386520385742,4.16269588470459,0.2034212350845337
go_stanford,short,sim2h_0_1,0.5,51.640796500009856,1.1933189739000594,0.0015039866557344794,0.19945652782917023,9.182204246520996,9.878933906555176,8.891439437866211,4.26771354675293,0.19566422700881958
go_stanford,short,sim2h_0_1,1.0,51.99191612501863,1.074686045847807,0.002094910480082035,0.16584432125091553,9.191558837890625,9.9031982421875,8.914140701293945,4.286559581756592,0.19344231486320496
go_stanford,short,sim2h_0_1,2.0,52.499589374974676,1.1570277056829832,0.006893940269947052,0.17040210962295532,9.198719024658203,9.896929740905762,8.872823715209961,4.352240085601807,0.19072258472442627
go_stanford,short,sim2h_0_1,4.0,55.086521999953675,1.3128522836164922,0.013703176751732826,0.13974592089653015,9.24648380279541,10.004993438720703,8.984107971191406,4.389908313751221,0.17846724390983582
go_stanford,short,sim21h_0_4,0.0,28.456964249954808,1.2079020548515667,0.0,0.4785803556442261,8.477344512939453,9.243812561035156,8.003166198730469,4.491062641143799,0.14172157645225525
go_stanford,short,sim21h_0_4,-1.0,28.558975874972248,1.5500334360283068,0.09111242741346359,0.6422311067581177,8.205389976501465,8.813593864440918,7.286396026611328,4.769928455352783,0.15408435463905334
go_stanford,short,sim21h_0_4,0.5,52.76585224996211,0.869075021060037,0.025979669764637947,0.44689276814460754,8.373395919799805,9.171941757202148,8.094425201416016,4.158050537109375,0.14335794746875763
go_stanford,short,sim21h_0_4,1.0,52.697942874971204,1.2221626280508737,0.10496307909488678,0.41770070791244507,8.615280151367188,9.543621063232422,8.623470306396484,3.9426462650299072,0.12912337481975555
go_stanford,short,sim21h_0_4,2.0,52.671040125005675,0.8717457832770953,0.2671286463737488,0.34689101576805115,8.864459037780762,9.896090507507324,9.102503776550293,3.7777934074401855,0.13279378414154053
go_stanford,short,sim21h_0_4,4.0,51.81856100000459,1.1789939043256834,0.8032708764076233,0.20371690392494202,9.249072074890137,10.477516174316406,9.930274963378906,3.2765016555786133,0.13832680881023407
go_stanford,medium,no27vc_26_0,0.0,27.488209749975567,0.9426032704961108,0.0,0.2387412190437317,9.454570770263672,10.697845458984375,10.099281311035156,3.459346055984497,0.09046811610460281
go_stanford,medium,no27vc_26_0,-1.0,27.564427874978037,0.762866369460058,0.021018153056502342,0.2185966819524765,9.535685539245605,10.754557609558105,10.00634765625,3.8899853229522705,0.08379951119422913
go_stanford,medium,no27vc_26_0,0.5,51.69945750000693,1.0918833136651875,0.0038419074844568968,0.20995718240737915,9.47374153137207,10.728424072265625,10.188343048095703,3.294741630554199,0.0933142825961113
go_stanford,medium,no27vc_26_0,1.0,52.51688974996682,0.5313487229508896,0.022652946412563324,0.22893691062927246,9.43000602722168,10.693419456481934,10.234920501708984,3.0230813026428223,0.09846319258213043
go_stanford,medium,no27vc_26_0,2.0,52.38902012501967,1.2248999869662707,0.07567891478538513,0.2246246188879013,9.414857864379883,10.661214828491211,10.314430236816406,2.6095786094665527,0.11915571987628937
go_stanford,medium,no27vc_26_0,4.0,52.07114962499304,0.8244981104621988,0.45183247327804565,0.2539771795272827,9.438129425048828,10.625479698181152,10.500653266906738,1.4553478956222534,0.15423235297203064
go_stanford,medium,no15vcF_7_0,0.0,27.65309649998926,0.7244060407873785,0.0,0.1920224130153656,8.231463432312012,9.430824279785156,9.412384033203125,0.48172396421432495,0.050180912017822266
go_stanford,medium,no15vcF_7_0,-1.0,27.86664062506361,1.0425906122676136,0.004567552357912064,0.15606187283992767,8.374398231506348,9.562994003295898,9.536291122436523,0.6466817855834961,0.02710191160440445
go_stanford,medium,no15vcF_7_0,0.5,52.66339762499683,1.1673993545470316,0.004495076835155487,0.23458553850650787,8.249348640441895,9.441741943359375,9.41456413269043,0.5922503471374512,0.06618615984916687
go_stanford,medium,no15vcF_7_0,1.0,53.12656812498062,2.1177953607150255,0.0038885455578565598,0.21818868815898895,8.224584579467773,9.415138244628906,9.398761749267578,0.4488644599914551,0.08104165643453598
go_stanford,medium,no15vcF_7_0,2.0,53.279113124972355,0.7630747205913293,0.01946570724248886,0.28156161308288574,8.072898864746094,9.201922416687012,9.181628227233887,0.4504190683364868,0.121808722615242
go_stanford,medium,no15vcF_7_0,4.0,52.69625625001595,0.5106105357845475,0.09940917789936066,0.3772951364517212,7.870166301727295,8.780412673950195,8.740240097045898,0.6342583894729614,0.2042553424835205
go_stanford,medium,no4vc_116_0,0.0,28.344771500002253,0.31493050597375605,0.0,0.1284637749195099,5.445064067840576,6.212579727172852,6.179464340209961,0.6076788902282715,0.04219985753297806
go_stanford,medium,no4vc_116_0,-1.0,27.887577250027107,0.4036893416908141,0.005092380102723837,0.11994384974241257,5.3215131759643555,6.081879615783691,6.059684753417969,0.48949065804481506,0.03140149638056755
go_stanford,medium,no4vc_116_0,0.5,53.11545750006985,1.0717919467669221,9.832013893174008e-05,0.13871106505393982,5.46653938293457,6.224501132965088,6.190587043762207,0.6242575645446777,0.04849739372730255
