config_id,case_index,dataset,suite,trajectory,obs_time,goal_time,candidate_k,status,action_ade_m,action_fde_m,progress_error_m,heading_error_rad,minade_k_m,candidate_diversity_m,sampling_seed,sampler_latency_ms,error
ddpm10_cfg0_standard_k8,0,go_stanford,short,sim9h_0_8,12,20,8,valid,0.020030478613518907,0.07044375197029812,0.007668256759643555,0.2646630878549363,0.011824270787528676,0.018496755639234568,11000,42.066409998369636,
ddpm10_cfg0_standard_k8,1,go_stanford,short,no16vc_29_1,97,105,8,valid,0.08588068759656668,0.229556824673695,0.0404510498046875,0.3131343077563482,0.04957194985161453,0.044421175248404936,11001,40.83698199974606,
ddpm10_cfg0_standard_k8,2,go_stanford,short,sim22hF_0_7,93,101,8,valid,0.26694004567443164,0.6433998499846537,0.09732240438461304,1.224836948908829,0.24488918602943113,0.04498360393413959,11002,41.61319600098068,
ddpm10_cfg0_standard_k8,3,go_stanford,short,no1vcF_18_0,15,23,8,valid,0.0627939900650462,0.0916368543210707,0.011949926614761353,0.12070790356404038,0.04660162265938206,0.04124834523633987,11003,41.04314600044745,
ddpm10_cfg0_standard_k8,4,go_stanford,short,no28vc_17_0,16,24,8,valid,0.08691825413680408,0.16288966836940288,0.008573632687330246,0.3272979525301061,0.05812403753717643,0.0732621825133191,11004,39.32281800007331,
ddpm10_cfg0_standard_k8,5,go_stanford,medium,sim9h_0_8,10,26,8,valid,0.051311791680048395,0.13605174455725727,0.04383659362792969,0.19660714506415955,0.02058102162540116,0.029582438845777326,11005,44.88501599917072,
ddpm10_cfg0_standard_k8,6,go_stanford,medium,no16vc_29_1,93,109,8,valid,0.08469454116744704,0.15873793073948314,0.15357863903045654,0.06395493439814004,0.04137176464119174,0.047651474510444665,11006,38.08562099948176,
ddpm10_cfg0_standard_k8,7,go_stanford,medium,sim22hF_0_7,87,103,8,valid,0.037627286415788684,0.10660754420875881,0.10023725032806396,0.15226518030579594,0.040973425098378174,0.12057032042397538,11007,41.2100850007846,
ddpm10_cfg0_standard_k8,8,go_stanford,medium,no1vcF_18_0,13,29,8,valid,0.08714215313799567,0.08625524816528658,0.07844886183738708,0.2702030573392258,0.06799731996603167,0.03486793897107619,11008,40.21648699927027,
ddpm10_cfg0_standard_k8,9,go_stanford,medium,no28vc_17_0,12,28,8,valid,0.17496776830912292,0.251648495033469,0.22044404037296772,0.5490749958194328,0.13533213058698457,0.07003398748072283,11009,39.36100099963369,
ddpm10_cfg0_standard_k8,10,go_stanford,long,sim9h_0_8,8,32,8,valid,0.03212618074523492,0.12393430114706167,0.009987950325012207,0.39577265248632587,0.02522132280504322,0.05251000614378852,11010,39.63755400036462,
ddpm10_cfg0_standard_k8,11,go_stanford,long,no16vc_29_1,89,113,8,valid,0.11145670273269062,0.23670382763637238,0.08010458946228027,0.1990563634958047,0.0716281796186786,0.03959616764298145,11011,42.38212900236249,
ddpm10_cfg0_standard_k8,12,go_stanford,long,sim22hF_0_7,81,105,8,valid,0.21073012324368334,0.46654467286300977,0.4319589287042618,0.7872925685258068,0.08981055138966412,0.22729282165657438,11012,39.83178500129725,
ddpm10_cfg0_standard_k8,13,go_stanford,long,no1vcF_18_0,11,35,8,valid,0.10635284448328557,0.09495303781397677,0.07640689611434937,0.3633779266280266,0.06603995607840035,0.054758964502909534,11013,39.65844900085358,
ddpm10_cfg0_standard_k8,14,go_stanford,long,no28vc_17_0,8,32,8,valid,0.0347310804381714,0.10024985542336884,0.09786975383758545,0.9584020501840529,0.035051897415006736,0.04404609368810645,11014,40.00022800028091,
ddim2_cfg0_standard_k8,0,go_stanford,short,sim9h_0_8,12,20,8,valid,0.02102013868950086,0.050198376273689053,0.008053302764892578,0.2887514477252058,0.021163184762170932,0.02912360216082825,11000,9.587178999936441,
ddim2_cfg0_standard_k8,1,go_stanford,short,no16vc_29_1,97,105,8,valid,0.07167129810160995,0.1963483332672056,0.05062901973724365,0.292888195739609,0.04878799650585265,0.056026359766696184,11001,9.255562003090745,
ddim2_cfg0_standard_k8,2,go_stanford,short,sim22hF_0_7,93,101,8,valid,0.26500670204088794,0.6607704640044871,0.10690540075302124,1.427011544917292,0.22212301953187708,0.07841907981929233,11002,7.900275999418227,
ddim2_cfg0_standard_k8,3,go_stanford,short,no1vcF_18_0,15,23,8,valid,0.0504821105941684,0.058823717414114504,0.028100013732910156,0.23649154458556065,0.03508953373450358,0.0472669192092121,11003,10.610666999127716,
ddim2_cfg0_standard_k8,4,go_stanford,short,no28vc_17_0,16,24,8,valid,0.11096542670514431,0.18513629731701287,0.10629749856889248,0.09706859011325353,0.06250013492807588,0.09842845147538419,11004,8.730097000807291,
ddim2_cfg0_standard_k8,5,go_stanford,medium,sim9h_0_8,10,26,8,valid,0.05888194458662692,0.1702174012830353,0.0401759147644043,0.25353121205940443,0.04340430205096409,0.03447034331298549,11005,8.493405999615788,
ddim2_cfg0_standard_k8,6,go_stanford,medium,no16vc_29_1,93,109,8,valid,0.09135096837374676,0.16457433660559856,0.1573091745376587,0.05958283088037408,0.07236177343193939,0.028749214618805675,11006,10.976004999974975,
ddim2_cfg0_standard_k8,7,go_stanford,medium,sim22hF_0_7,87,103,8,valid,0.035275088797466436,0.10761862540967801,0.10516202449798584,0.04842747916982848,0.05912402645674464,0.1026752996331324,11007,10.413062998850364,
ddim2_cfg0_standard_k8,8,go_stanford,medium,no1vcF_18_0,13,29,8,valid,0.12421953863441795,0.14706441753040467,0.14513954520225525,0.3153558030927974,0.0858128290338938,0.04045643042850693,11008,7.780366999213584,
ddim2_cfg0_standard_k8,9,go_stanford,medium,no28vc_17_0,12,28,8,valid,0.13564263581948247,0.16093759261898938,0.1380341313779354,0.5734096436463654,0.1078988218072081,0.10981756306531583,11009,10.36088199907681,
ddim2_cfg0_standard_k8,10,go_stanford,long,sim9h_0_8,8,32,8,valid,0.037715008820250175,0.12138564471324602,0.04092526435852051,0.3674338026392485,0.010950684957998287,0.1055583092767355,11010,11.905942999874242,
ddim2_cfg0_standard_k8,11,go_stanford,long,no16vc_29_1,89,113,8,valid,0.1086086330676937,0.2246223528684595,0.07811641693115234,0.18446116409702284,0.0663517245921838,0.04484995701507632,11011,7.918250998045551,
ddim2_cfg0_standard_k8,12,go_stanford,long,sim22hF_0_7,81,105,8,valid,0.2577846035934578,0.5783719716840833,0.5326093882322311,1.2537812894479927,0.1187522683628185,0.2173399147617998,11012,8.508246999554103,
ddim2_cfg0_standard_k8,13,go_stanford,long,no1vcF_18_0,11,35,8,valid,0.11177290028836544,0.10897593885969815,0.08599203824996948,0.40004159220094015,0.08756719969167025,0.044604582420296086,11013,12.684819997957675,
ddim2_cfg0_standard_k8,14,go_stanford,long,no28vc_17_0,8,32,8,valid,0.04622721797238699,0.025850355439964782,0.02524465322494507,0.8104754375857848,0.03546229964062309,0.12523620600169866,11014,9.786878999875626,
ddim3_cfg0_standard_k8,0,go_stanford,short,sim9h_0_8,12,20,8,valid,0.021183504228463698,0.05199909738391828,0.009956717491149902,0.2860663323958885,0.019499012326720293,0.025119680124790537,11000,10.925751998001942,
ddim3_cfg0_standard_k8,1,go_stanford,short,no16vc_29_1,97,105,8,valid,0.06982203252635324,0.19517369616454505,0.046021342277526855,0.2957405158816466,0.04909672053637612,0.04632415451002666,11001,11.773197998991236,
ddim3_cfg0_standard_k8,2,go_stanford,short,sim22hF_0_7,93,101,8,valid,0.2660369283268156,0.6623274649312914,0.11014431715011597,1.4132544635388569,0.22448138191520703,0.07177349616533638,11002,14.461194001341937,
ddim3_cfg0_standard_k8,3,go_stanford,short,no1vcF_18_0,15,23,8,valid,0.052209433110382085,0.06311639840203272,0.02513432502746582,0.21865164794887093,0.038120551319333125,0.04005535191418758,11003,12.378637999063358,
ddim3_cfg0_standard_k8,4,go_stanford,short,no28vc_17_0,16,24,8,valid,0.09822856714235803,0.15871567794757657,0.07801700197160244,0.13241297885246528,0.05577182639437056,0.08705713180741972,11004,11.687905000144383,
ddim3_cfg0_standard_k8,5,go_stanford,medium,sim9h_0_8,10,26,8,valid,0.05842843343006868,0.1639884818381139,0.04251289367675781,0.24182452873392224,0.04354758075679617,0.023433781037771717,11005,13.161562997993315,
ddim3_cfg0_standard_k8,6,go_stanford,medium,no16vc_29_1,93,109,8,valid,0.09204519743843444,0.1656535872417362,0.15782201290130615,0.06018984584870157,0.0752622611080418,0.0253260438292737,11006,12.708891001238953,
